step,x,y,wall_time,sim_time
1,0.02668175261429607,-0.0006581483349628878,0.033588706981390715,0.020000000000000018
2,0.03111754199033498,-0.0010340924608597875,0.13365675415843725,0.12
3,0.04051139062468664,-0.002406285791773294,0.2333758040331304,0.22000000000000003
4,0.05465646737899713,-0.006273075313889591,0.3333921111188829,0.32000000000000006
5,0.07079660469283404,-0.01388503815065884,0.43374347616918385,0.42000000000000004
6,0.08526726263591726,-0.02445610824269305,0.5338302929885685,0.52
7,0.09751766845048825,-0.03756766248693986,0.6334945929702371,0.62
8,0.10739070137126329,-0.0531873990836567,0.7337837079539895,0.7200000000000001
9,0.11890178543761515,-0.09007544974838828,0.9338670731522143,0.9199999999999999
10,0.12021206183099098,-0.10939283090970138,1.0339019901584834,1.02
11,0.11484475178872522,-0.14799588891462986,1.2338134569581598,1.22
12,0.09949372618120375,-0.18766163885060655,1.4341478100977838,1.4200000000000002
13,0.08906888374310881,-0.20720019421476252,1.5340426091570407,1.52
14,0.06395342415728003,-0.243614954782728,1.7339742451440543,1.72
15,0.049464416193877696,-0.2603426268472736,1.8339279231149703,1.82
16,0.03382850614411783,-0.27600206435818797,1.9341048090718687,1.9200000000000002
17,0.017159144140521776,-0.29055291003669126,2.034136626170948,2.0200000000000005
18,-0.0004200564111814718,-0.3039836932374948,2.134174524107948,2.12
19,-0.03699150566433562,-0.32858035183330286,2.3341219201684,2.3200000000000003
20,-0.05559608102591771,-0.34035660742843254,2.4344899440184236,2.42
21,-0.07442280021478329,-0.35177225777953824,2.5344729120843112,2.5200000000000005
22,-0.09346901625418574,-0.36282632332753684,2.634620388969779,2.62
23,-0.1321967700141516,-0.38382722136960157,2.834582363953814,2.8200000000000003
24,-0.1518645410623262,-0.393758207414837,2.9348294199444354,2.92
25,-0.1717221924918582,-0.40329777642736403,3.0344120610971004,3.0200000000000005
26,-0.191763578348151,-0.4124382710912065,3.134590598056093,3.12
27,-0.23007900777855017,-0.42949157150329265,3.3349019400775433,3.3200000000000003
28,-0.24915385917878932,-0.4380694639976267,3.435177276143804,3.42
29,-0.26820664851363774,-0.4466862387509847,3.535136674065143,3.5200000000000005
30,-0.2872367849340278,-0.4553393158676731,3.6348734439816326,3.62
31,-0.32523214666655303,-0.47275124432099574,3.8352959260810167,3.8200000000000003
32,-0.3442000098041972,-0.4815086061218255,3.9352476040367037,3.92
33,-0.36314893858021696,-0.4902987106099681,4.03632794204168,4.0200000000000005
34,-0.38207803956859776,-0.4991197823046751,4.136436589062214,4.12
35,-0.4020356487355891,-0.5085411016876445,4.236397807952017,4.220000000000001
36,-0.42182178556647715,-0.5181110741981491,4.33616401697509,4.32
37,-0.4415282241753663,-0.5278474314795326,4.436469813110307,4.42
38,-0.4611632246605904,-0.5377311543093966,4.53653680998832,4.5200000000000005
39,-0.4807316450683504,-0.5477477686851532,4.636535058030859,4.62
40,-0.5002364655044325,-0.5578877257196413,4.736674464074895,4.720000000000001
41,-0.5196817395244565,-0.5681417922208091,4.8367045521736145,4.82
42,-0.5390721668424999,-0.5785009023876223,4.93640236207284,4.92
43,-0.5584124078260072,-0.5889560621452012,5.0367977970745414,5.0200000000000005
44,-0.5777064694274723,-0.5994981209919431,5.13662295602262,5.12
45,-0.5964979225868897,-0.610123813028061,5.236887592123821,5.220000000000001
46,-0.6149326954097694,-0.621164152016023,5.33682572003454,5.32
47,-0.6331425740121145,-0.6325932500353696,5.436531521147117,5.42
48,-0.6511554128987471,-0.6443492102733178,5.536611898103729,5.5200000000000005
49,-0.6689981835901115,-0.656380463200342,5.637127641122788,5.62
50,-0.686695661298246,-0.6686407512825734,5.736796412151307,5.720000000000001
51,-0.7042727383542275,-0.6810911881025394,5.836838320130482,5.82
52,-0.7217483715972034,-0.6937024493381514,5.936883187154308,5.92
53,-0.7391381582035623,-0.7064491206582413,6.036845575086772,6.0200000000000005
54,-0.7564555815643332,-0.7193091180115776,6.137027342105284,6.12
55,-0.7742964967014576,-0.7324188295970763,6.2369529800489545,6.220000000000001
56,-0.7928237957063622,-0.7440094606835295,6.336928819073364,6.32
57,-0.8120921571706514,-0.7540440647094668,6.43739231210202,6.42
58,-0.8319182107840364,-0.762452083488039,6.537521239137277,6.5200000000000005
59,-0.852178361985063,-0.769220321361903,6.637385067995638,6.62
60,-0.8727854971203519,-0.7743609559609547,6.737581884954125,6.720000000000001
61,-0.8936066623699952,-0.7778745578296948,6.837083537131548,6.82
62,-0.9145009173500764,-0.7797703419454328,6.937597380019724,6.92
63,-0.9353572677531805,-0.7800745136568626,7.037277941126376,7.0200000000000005
