episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,fixed,5.0,5.0,True,1,SUCCESS,105,2.410892264131212,59,576,0.19925084372056315,10,0.10243055555555555,9.76271186440678
2,fixed,5.0,5.0,False,4,TIMEOUT,387,-0.7284418774609902,253,2516,0.44193850347096897,10,0.10055643879173291,9.944664031620553
3,fixed,5.0,5.0,False,4,TIMEOUT,400,-1.1513291365825542,250,2491,2.2215177239691615,10,0.10036130068245684,9.964
4,fixed,5.0,5.0,True,1,SUCCESS,93,2.403025837142058,50,492,0.19784004224060495,10,0.1016260162601626,9.84
5,fixed,5.0,5.0,True,1,SUCCESS,257,2.4162442803822675,172,1706,0.19972595671445675,10,0.10082063305978899,9.918604651162791
6,fixed,5.0,5.0,True,1,SUCCESS,317,2.452552432250202,176,1747,0.19995541469446218,10,0.10074413279908415,9.926136363636363
7,fixed,5.0,5.0,True,1,SUCCESS,196,2.394503921383173,99,985,0.19922123766682664,10,0.10050761421319797,9.94949494949495
8,fixed,5.0,5.0,True,1,SUCCESS,121,2.417228986766249,62,611,0.19790786178821504,10,0.10147299509001637,9.85483870967742
9,fixed,5.0,5.0,True,1,SUCCESS,67,2.3375021510493896,35,339,0.19833044505746708,10,0.10324483775811209,9.685714285714285
10,fixed,5.0,5.0,False,4,TIMEOUT,509,-0.7187609227385539,256,2546,0.8606208100461663,10,0.10054988216810684,9.9453125
1,fixed,5.0,5.0,True,1,SUCCESS,388,1.7905528012238936,245,2442,0.1988943983396656,10,0.10032760032760032,9.96734693877551
2,fixed,5.0,5.0,True,1,SUCCESS,114,2.2737001290656713,60,595,0.19693603975525084,10,0.10084033613445378,9.916666666666666
3,fixed,5.0,5.0,True,1,SUCCESS,244,2.0106110727432607,158,1570,0.1990205449109299,10,0.10063694267515924,9.936708860759493
4,fixed,5.0,5.0,False,4,TIMEOUT,406,-1.918665030704408,255,2537,1.6813204454988624,10,0.10051241623965314,9.949019607843137
5,fixed,5.0,5.0,True,1,SUCCESS,270,1.9825587192346907,172,1708,0.19850542612842975,10,0.10070257611241218,9.930232558139535
6,fixed,5.0,5.0,True,1,SUCCESS,62,2.289156531377603,36,350,0.19982745370136945,10,0.10285714285714286,9.722222222222221
7,fixed,5.0,5.0,True,1,SUCCESS,181,2.1510478620809628,105,1041,0.19786418290176078,10,0.10086455331412104,9.914285714285715
8,fixed,5.0,5.0,True,1,SUCCESS,370,1.8191984772798957,234,2326,0.19837835021915579,10,0.10060189165950129,9.94017094017094
9,fixed,5.0,5.0,True,1,SUCCESS,252,2.006540169969521,160,1591,0.19782625706012824,10,0.1005656819610308,9.94375
10,fixed,5.0,5.0,True,1,SUCCESS,241,2.03698004420787,153,1516,0.1994426192569862,10,0.10092348284960422,9.908496732026144
11,fixed,5.0,5.0,True,1,SUCCESS,273,1.9781365670429871,174,1733,0.1972516606450095,10,0.10040392383150606,9.959770114942529
12,fixed,5.0,5.0,True,1,SUCCESS,264,2.003834347457973,167,1663,0.19718895245645257,10,0.10042092603728202,9.95808383233533
13,fixed,5.0,5.0,True,1,SUCCESS,375,1.8082426599928763,238,2375,0.1984929464465857,10,0.10021052631578947,9.978991596638656
14,fixed,5.0,5.0,True,1,SUCCESS,365,1.820188919349763,234,2329,0.19640521073496825,10,0.1004723057106054,9.952991452991453
15,fixed,5.0,5.0,True,1,SUCCESS,105,2.267639187375379,58,567,0.19887448395374419,10,0.10229276895943562,9.775862068965518
