ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.06586973881348968,0.05999999999998806,0.09999999999999432,47,-1.8681602926887184,-2.0777261556138535,-2.2680714158203363,4.509200065824157,0.7591633200645447,-0.0017533726054819521,-0.0017533726054819521,-0.0017533726054819521,0.0,-0.0,False,False,1,10.0,5,0.012,1.0,0.002,0.9998146891593933,-0.26509183645248413,0,False
2,0.2781064978335053,0.2599999999999909,0.1910000000000025,341,-1.8983796744727062,-2.109944726658735,-2.3843282662020915,4.537755348051039,0.7639708518981934,-0.0063437749177032345,-0.008097147523185187,-0.0063437749177032345,0.0,-0.0,True,True,2,1.0,50,0.032,0.1,0.004,0.9997798204421997,-0.29182106256484985,0,False
3,0.3779167728498578,0.35999999999999943,0.09999999999999432,161,-1.9148696283068176,-2.1246648628135008,-2.442171734494785,4.550598268294321,0.7661330699920654,-0.0028531532156489295,-0.010950300738834117,-0.0028531532156489295,0.0,-0.0,False,False,2,1.0,50,0.052,0.1,0.004,0.9997856020927429,-0.2807535231113434,0,False
4,0.4779361749533564,0.45999999999999375,0.10000000000000853,163,-1.93216582160354,-2.138424138002897,-2.4977683356978524,4.562473260873442,0.7681323289871216,-0.002638120662677925,-0.013588421401512042,-0.002638120662677925,0.0,-0.0,False,False,2,1.0,50,0.072,0.1,0.004,0.9997917413711548,-0.2701128423213959,0,False
5,0.5782083659432828,0.5599999999999881,0.09999999999999432,163,-1.9501824743715783,-2.1512172897648334,-2.5513304822485483,4.573392008894807,0.7699705958366394,-0.002425683601384569,-0.01601410500289661,-0.002425683601384569,0.0,-0.0,False,False,2,1.0,50,0.092,0.1,0.004,0.9997979998588562,-0.2604462206363678,0,False
6,0.6782502878922969,0.6599999999999966,0.09999999999999432,160,-1.9688424316757627,-2.1630425977509935,-2.603011015003094,4.583367257565408,0.7716500163078308,-0.002216077985558797,-0.01823018298845541,-0.002216077985558797,0.0,-0.0,False,False,2,1.0,50,0.112,0.1,0.004,0.9998002648353577,-0.25071418285369873,0,False
7,0.7777968950103968,0.7599999999999909,0.10000000000000853,157,-1.9880747768218918,-2.1739037954773544,-2.6526563276181427,4.592415292427509,0.7731733322143555,-0.0020100903278295174,-0.020240273316284925,-0.0020100903278295174,0.0,-0.0,False,False,2,1.0,50,0.132,0.1,0.004,0.9997934699058533,-0.24207571148872375,0,False
8,0.8791071358136833,0.8599999999999994,0.09999999999999432,161,-2.0078101256901273,-2.1838159145156517,-2.7003326821221516,4.600563020029198,0.7745450735092163,-0.001810080166086219,-0.022050353482371145,-0.001810080166086219,0.0,-0.0,False,False,2,1.0,50,0.152,0.1,0.004,0.99978107213974,-0.23159568011760712,0,False
9,0.9781029380392283,0.9599999999999937,0.10000000000000853,161,-2.027986362412365,-2.1927928332430726,-2.7462642187717416,4.607834514650346,0.7757692933082581,-0.0016154182902253012,-0.023665771772596447,-0.0016154182902253012,0.0,-0.0,False,False,2,1.0,50,0.172,0.1,0.004,0.9997714161872864,-0.2242051064968109,0,False
10,1.078641845844686,1.059999999999988,0.09999999999999432,163,-2.048545244090953,-2.2008477889854032,-2.7907642148378913,4.614252080403185,0.7768497467041016,-0.0014257114439319152,-0.025091483216528362,-0.0014257114439319152,0.0,-0.0,False,False,2,1.0,50,0.192,0.1,0.004,0.9997683763504028,-0.21678456664085388,0,False
11,1.1785104698501527,1.1599999999999966,0.09999999999999432,161,-2.0682806286114586,-2.2076125757962,-2.836574418454694,4.619538155002161,0.7777397036552429,-0.0011743420074665336,-0.026265825223994895,-0.0011743420074665336,0.0,-0.0,True,True,3,1.0,50,0.012,0.1,0.006,0.7320754528045654,-0.38285672664642334,0,False
12,1.2782075959257782,1.259999999999991,0.10000000000000853,171,-2.0842360141227063,-2.212019724820752,-2.9133694649594917,4.622816505466732,0.778291642665863,-0.0007283106951402342,-0.026994135919135128,-0.0007283106951402342,0.0,-0.0,False,False,3,1.0,50,0.032,0.1,0.006,0.7578975558280945,-0.3865373134613037,0,False
13,1.378230017842725,1.3599999999999994,0.09999999999999432,159,-2.1008034386585157,-2.215234895029905,-2.989550211880205,4.624923004955306,0.7786462903022766,-0.00046797501469597933,-0.027462110933831108,-0.00046797501469597933,0.0,-0.0,False,False,3,1.0,50,0.052,0.1,0.006,0.7728495597839355,-0.38649189472198486,0,False
14,1.4790228540077806,1.4599999999999937,0.10000000000000853,164,-2.11778747294521,-2.2171800047005896,-3.067787991626434,4.625796759701156,0.7787933945655823,-0.0001941113170201685,-0.027656222250851275,-0.0001941113170201685,0.0,-0.0,False,False,3,1.0,50,0.072,0.1,0.006,0.7807474732398987,-0.3868916928768158,0,False
15,1.5783182529266924,1.559999999999988,0.09999999999999432,162,-2.13508244775615,-2.2177942099379564,3.13829703463752,4.625387142909847,0.7787244319915771,9.099951126115291e-05,-0.027565222739590122,9.099951126115291e-05,0.0,-0.0,False,False,3,1.0,50,0.092,0.1,0.006,0.7768084406852722,-0.3883250951766968,0,False
