ppo_step,t_wall_s,t_sim_s,ppo_step_sim_dt,inner_ticks,x,y,yaw,goal_distance_m,goal_distance_norm,ppo_reward,ppo_reward_cumulative,navigation_reward,terminal_reward,frame_cost_reward,fresh_observation,frame_consumed,episode_frame_count,current_fps,scan_divisor_k,obs_age_ratio,fps_ratio,frame_count_ratio,action_linear,action_angular,outcome,done
1,0.09075560141354799,0.07999999999992724,0.10000000000002274,76,-0.8965151171028298,-1.0623836382173182,-2.2064996993308563,2.1156308983323084,0.3561849892139435,-0.0011357824149487211,-0.0011357824149487211,-0.0011357824149487211,0.0,-0.0,False,False,1,10.0,5,0.016,1.0,0.002,0.9770183563232422,0.2425583004951477,0,False
2,0.2919672951102257,0.2599999999999909,0.17699999999990723,315,-0.9182244408178425,-1.0944682031916002,-2.1232735801100975,2.1212196715972893,0.3571259081363678,-0.005144658337986478,-0.006280440752935199,-0.002644658337986478,0.0,-0.0025,True,True,2,5.0,10,0.032,0.5,0.004,0.9954574704170227,0.239154651761055,0,False
3,0.39258077228441834,0.36000000000001364,0.10099999999999909,159,-0.9292269351537218,-1.113319843326957,-2.073309923304025,2.1232330602681335,0.35746487975120544,-0.0034527538304909046,-0.009733194583426103,-0.0009527538304909045,0.0,-0.0025,True,True,3,5.0,10,0.012,0.5,0.006,0.9982160329818726,0.28304511308670044,0,False
4,0.4928492712788284,0.4599999999999227,0.10000000000002274,157,-0.9391857866638448,-1.1327703006887242,-2.0161066344118916,2.124271440604266,0.35763970017433167,-0.000491371018960796,-0.010224565602386899,-0.000491371018960796,0.0,-0.0,False,False,3,5.0,10,0.032,0.5,0.006,0.9980787634849548,0.2798612415790558,0,False
5,0.5926437051966786,0.5599999999999454,0.10000000000002274,158,-0.9480395115949234,-1.1526923338512645,-1.9649252686937588,2.124332334370995,0.35764995217323303,-0.0025288154842350156,-0.012753381086621914,-2.8815484235015415e-05,0.0,-0.0025,True,True,4,5.0,10,0.012,0.5,0.008,0.9913977384567261,0.21697695553302765,0,False
6,0.6928232363425195,0.6599999999999682,0.10000000000002274,157,-0.9559965293398652,-1.1729087958961715,-1.9221589254556888,2.1236766642780807,0.357539564371109,0.0003102690511814186,-0.012443112035440495,0.0003102690511814186,0.0,-0.0,False,False,4,5.0,10,0.032,0.5,0.008,0.9904776811599731,0.2174391895532608,0,False
7,0.7927579181268811,0.7599999999999909,0.10000000000002274,158,-0.9630011407358258,-1.1932736957455714,-1.8787454339292837,2.122305492426106,0.3573087155818939,-0.0018511490090572554,-0.01429426104449775,0.0006488509909427446,0.0,-0.0025,True,True,5,5.0,10,0.012,0.5,0.01,0.9697584509849548,0.2376919835805893,0,False
8,0.9927921420894563,0.9599999999999227,0.1999999999999318,317,-0.9740106291680083,-1.2344776900195706,-1.7945288578194618,2.1172488315529447,0.356457382440567,-0.00010714208529951936,-0.01440140312979727,0.0023928579147004807,0.0,-0.0025,True,True,6,5.0,10,0.012,0.5,0.012,0.9959920644760132,-0.009877814911305904,0,False
9,1.0931986011564732,1.0599999999999454,0.10000000000002274,158,-0.979043167974048,-1.2558196275888585,-1.8009430172295364,2.1143358436887443,0.3559669554233551,0.0013784523504976308,-0.013022950779299639,0.0013784523504976308,0.0,-0.0,False,False,6,5.0,10,0.032,0.5,0.012,0.9961791038513184,-0.005766897927969694,0,False
10,1.1932433634065092,1.1599999999999682,0.10000000000002274,158,-0.984083326550848,-1.2771587464977487,-1.8044274861934646,2.1116547477850514,0.35551556944847107,-0.0012312810342347724,-0.01425423181353441,0.0012687189657652276,0.0,-0.0025,True,True,7,5.0,10,0.012,0.5,0.014,0.9965024590492249,-0.004516909830272198,0,False
11,1.2928681280463934,1.259999999999991,0.10000000000002274,158,-0.98915172774326,-1.2984892238372077,-1.8050090328206632,2.109227847954097,0.35510697960853577,0.0011484310722728256,-0.013105800741261586,0.0011484310722728256,0.0,-0.0,False,False,7,5.0,10,0.032,0.5,0.014,0.9965629577636719,0.0024735541082918644,0,False
12,1.4930420313030481,1.4599999999999227,0.1999999999999318,317,-0.9992575306550879,-1.3409739113005705,-1.8043516536467048,2.105076273793968,0.35440802574157715,-0.0005354373495250393,-0.013641238090786625,0.0019645626504749608,0.0,-0.0025,True,True,8,5.0,10,0.032,0.5,0.016,0.9910778999328613,0.0032262392342090607,0,False
13,1.5929779941216111,1.5599999999999454,0.10000000000002274,158,-1.0042945621364967,-1.3621758965082464,-1.8041925377030257,2.103334605855473,0.3541148006916046,-0.0016758268913134055,-0.01531706498210003,0.0008241731086865944,0.0,-0.0025,True,True,9,5.0,10,0.012,0.5,0.018,0.9898929595947266,-0.002690010704100132,0,False
14,1.6930735954083502,1.6599999999999682,0.10000000000002274,159,-1.0093402864372958,-1.3833640165879535,-1.8047489066904148,2.1018297863468707,0.3538614511489868,0.000712094277563057,-0.014604970704536972,0.000712094277563057,0.0,-0.0,False,False,9,5.0,10,0.032,0.5,0.018,0.9901383519172668,0.0016436561709269881,0,False
15,1.7931875963695347,1.759999999999991,0.10000000000002274,153,-1.0144214098955848,-1.4046230374519735,-1.8116324708182612,2.1005635854357974,0.35364827513694763,-0.0019008222129856603,-0.016505792917522633,0.0005991777870143398,0.0,-0.0025,True,True,10,5.0,10,0.012,0.5,0.02,0.9957832098007202,-0.11959215253591537,0,False
16,1.9935522680170834,1.9599999999999227,0.1999999999999318,316,-1.0259790533411326,-1.4469686595902829,-1.8544365883046088,2.1001035188668222,0.353570818901062,-0.0022822923153292276,-0.01878808523285186,0.00021770768467077267,0.0,-0.0025,True,True,11,5.0,10,0.012,0.5,0.022,0.9939368963241577,0.018923094496130943,0,False
17,2.0931916530244052,2.0599999999999454,0.10000000000002274,158,-1.0319799686023956,-1.4679832142527394,-1.848352596005807,2.1004724218024684,0.35363292694091797,-0.00017456822426087262,-0.018962653457112733,-0.00017456822426087262,0.0,-0.0,False,False,11,5.0,10,0.032,0.5,0.022,0.994001567363739,0.019430695101618767,0,False
18,2.193178945221007,2.159999999999968,0.10000000000002274,159,-1.0379049828682123,-1.4890099197041482,-1.8414040962546112,2.100991966004062,0.35372039675712585,-0.002745853041365434,-0.021708506498478167,-0.000245853041365434,0.0,-0.0025,True,True,12,5.0,10,0.012,0.5,0.024,0.9929075241088867,0.05575796216726303,0,False
19,2.293210837058723,2.259999999999991,0.10000000000002274,158,-1.0436106793222328,-1.5100730002386094,-1.8297250657542585,2.101516820708568,0.35380876064300537,-0.0002483660196416042,-0.02195687251811977,-0.0002483660196416042,0.0,-0.0,False,False,12,5.0,10,0.032,0.5,0.024,0.992883563041687,0.05567069724202156,0,False
20,2.49328072136268,2.4599999999999227,0.1999999999999318,318,-1.054172112746888,-1.551822165570442,-1.8065632617680007,2.1024953693785546,0.35397350788116455,-0.002963058130381099,-0.02491993064850087,-0.00046305813038109874,0.0,-0.0025,True,True,13,5.0,10,0.032,0.5,0.026,0.9740444421768188,0.059180740267038345,0,False
21,2.5934609421528876,2.5599999999999454,0.10000000000002274,158,-1.0591177500788336,-1.5728420068591717,-1.8029335830263806,2.102957383131931,0.35405129194259644,-0.002718629110038786,-0.027638559758539658,-0.0002186291100387858,0.0,-0.0025,True,True,14,5.0,10,0.012,0.5,0.028,0.9822030067443848,-0.034935154020786285,0,False
22,2.693371254019439,2.659999999999968,0.10000000000002274,157,-1.0642348789474398,-1.5938548516502107,-1.8105816627501998,2.1038107809499493,0.3541949689388275,-0.0004038356090027007,-0.02804239536754236,-0.0004038356090027007,0.0,-0.0,False,False,14,5.0,10,0.032,0.5,0.028,0.9828038811683655,-0.033826254308223724,0,False
23,2.7937908633612096,2.759999999999991,0.10000000000002274,156,-1.0694471796799478,-1.6147408414553508,-1.8159431318617345,2.1050026348202495,0.35439562797546387,-0.0030639960911460658,-0.031106391458688425,-0.0005639960911460656,0.0,-0.0025,True,True,15,5.0,10,0.012,0.5,0.03,0.9715648293495178,0.02916445955634117,0,False
24,2.993429521098733,2.9599999999999227,0.1999999999999318,314,-1.0795699304774051,-1.6564271935012351,-1.808862141759704,2.1077602019658808,0.3548598885536194,-0.003804905852944138,-0.03491129731163256,-0.001304905852944138,0.0,-0.0025,True,True,16,5.0,10,0.012,0.5,0.032,0.995204746723175,-0.0855635330080986,0,False
25,3.094584333244711,3.0599999999999454,0.10099999999999909,151,-1.0849906205091748,-1.6776772725661937,-1.8273899141179308,2.1097578361447518,0.3551962077617645,-0.0009452986616045966,-0.035856595973237156,-0.0009452986616045966,0.0,-0.0,False,False,16,5.0,10,0.032,0.5,0.032,0.9955329895019531,-0.07784923166036606,0,False
26,3.1947049451991916,3.159999999999968,0.10000000000002274,158,-1.090659506936454,-1.6985855515478985,-1.8414387818732547,2.112275545575508,0.3556200861930847,-0.00369140300079769,-0.03954799897403485,-0.0011914030007976898,0.0,-0.0025,True,True,17,5.0,10,0.012,0.5,0.034,0.9716652631759644,-0.02271595224738121,0,False
27,3.2957451082766056,3.259999999999991,0.10099999999999909,161,-1.0963868822928642,-1.719190405851789,-1.8450626553023286,2.115110469046896,0.35609737038612366,-0.0013415115698357434,-0.04088951054387059,-0.0013415115698357434,0.0,-0.0,False,False,17,5.0,10,0.032,0.5,0.034,0.9724993109703064,-0.022356346249580383,0,False
28,3.396492944099009,3.3600000000000136,0.10099999999999909,160,-1.1022560504659393,-1.7398709706785882,-1.8547086704114588,2.118288805039951,0.3566324710845947,-0.004004017498370243,-0.04489352804224084,-0.0015040174983702425,0.0,-0.0025,True,True,18,5.0,10,0.012,0.5,0.036,0.9906397461891174,-0.13000351190567017,0,False
29,3.496596295386553,3.4599999999999227,0.10000000000002274,157,-1.108707126310969,-1.7607456111623818,-1.8820357967938262,2.122236632905009,0.3572971224784851,-0.0018681480506074367,-0.04676167609284827,-0.0018681480506074367,0.0,-0.0,False,False,18,5.0,10,0.032,0.5,0.036,0.9913585782051086,-0.12443527579307556,0,False
30,3.596577308140695,3.5599999999999454,0.10000000000002274,157,-1.1156069987146826,-1.7813258401452634,-1.9008147871703212,2.12687836648395,0.35807859897613525,-0.004696510545378205,-0.051458186638226475,-0.0021965105453782053,0.0,-0.0025,True,True,19,5.0,10,0.012,0.5,0.038,0.9778476357460022,0.09028837829828262,0,False
31,3.697781039401889,3.659999999999968,0.10099999999999909,160,-1.1222562965393517,-1.8017297709861295,-1.8780373679931153,2.131497795950659,0.35885632038116455,-0.0021859560366177862,-0.05364414267484426,-0.0021859560366177862,0.0,-0.0,False,False,19,5.0,10,0.032,0.5,0.038,0.9770018458366394,0.0916031077504158,0,False
32,3.89849920803681,3.8600000000000136,0.20099999999990814,317,-1.1348969995416012,-1.842684061062655,-1.872579670679624,2.1406853200225915,0.3604031205177307,-0.006847619949898,-0.06049176262474226,-0.004347619949897999,0.0,-0.0025,True,True,20,5.0,10,0.032,0.5,0.04,0.9738681316375732,-0.028183385729789734,0,False
33,3.998671969398856,3.9599999999999227,0.10000000000002274,158,-1.1413466956942127,-1.8631346414364953,-1.877386808414224,2.1457161364482458,0.361250102519989,-0.004880628087089071,-0.06537239071183133,-0.002380628087089071,0.0,-0.0025,True,True,21,5.0,10,0.012,0.5,0.042,0.9755041003227234,0.015259109437465668,0,False
34,4.099672773387283,4.059999999999945,0.10099999999999909,159,-1.1477635775479158,-1.8836074033973738,-1.8737415753636777,2.1509151187994586,0.3621253967285156,-0.0024602057325055406,-0.06783259644433687,-0.0024602057325055406,0.0,-0.0,False,False,21,5.0,10,0.032,0.5,0.042,0.9759091138839722,0.014730922877788544,0,False
35,4.200892584398389,4.17999999999995,0.10099999999999909,160,-1.1553095392234678,-1.9079994243888343,-1.8647637802138477,2.157272144819096,0.36319565773010254,-0.005508202528625731,-0.0733407989729626,-0.003008202528625731,0.0,-0.0025,True,True,22,5.0,10,0.012,0.5,0.044,0.9600030779838562,0.07990103960037231,0,False
36,4.300879637245089,4.279999999999973,0.10000000000002274,157,-1.1612325035256656,-1.9282389139342444,-1.848045066105983,2.162423509660861,0.36406293511390686,-0.0024376726939611608,-0.07577847166692375,-0.0024376726939611608,0.0,-0.0,False,False,22,5.0,10,0.032,0.5,0.044,0.9599801301956177,0.08087867498397827,0,False
37,4.402266197372228,4.3799999999999955,0.10099999999999909,159,-1.1669623605735084,-1.9487871115511204,-1.8467160950550405,2.167567439798549,0.3649289608001709,-0.004934154524374564,-0.08071262619129832,-0.0024341545243745646,0.0,-0.0025,True,True,23,5.0,10,0.016,0.5,0.046,0.979684054851532,-0.038708873093128204,0,False
38,4.50330710131675,4.480000000000018,0.10099999999999909,158,-1.1729243934602853,-1.9695141009079595,-1.8529588640890031,2.173138157353628,0.36586683988571167,-0.002636114211847121,-0.08334874040314544,-0.002636114211847121,0.0,-0.0,False,False,23,5.0,10,0.036,0.5,0.046,0.980293333530426,-0.03950270637869835,0,False
39,4.60259098932147,4.579999999999927,0.10000000000002274,155,-1.1789068576066812,-1.98989311368833,-1.8510813672350672,2.178930322880153,0.36684200167655945,-0.005240905405969177,-0.08858964580911462,-0.0027409054059691768,0.0,-0.0025,True,True,24,5.0,10,0.016,0.5,0.048,0.9563475251197815,0.07350397855043411,0,False
40,4.703948270063847,4.67999999999995,0.10099999999999909,161,-1.1845516966693348,-2.0101347708241892,-1.8367518009319852,2.1845752104592413,0.36779236793518066,-0.0026712121417727724,-0.09126085795088738,-0.0026712121417727724,0.0,-0.0,False,False,24,5.0,10,0.036,0.5,0.048,0.9565151333808899,0.07375765591859818,0,False
41,4.804574077017605,4.779999999999973,0.10099999999999909,160,-1.189885473443134,-2.0303017271046415,-1.826033819551086,2.190095124203125,0.36872169375419617,-0.005112073386336997,-0.09637293133722438,-0.0026120733863369975,0.0,-0.0025,True,True,25,5.0,10,0.016,0.5,0.05,0.9441445469856262,0.03143027424812317,0,False
42,4.9046655390411615,4.8799999999999955,0.10000000000002274,159,-1.1950652978274707,-2.0504031146970747,-1.819194830283459,2.1956438916794996,0.36965587735176086,-0.0026257272349717383,-0.09899865857219613,-0.0026257272349717383,0.0,-0.0,False,False,25,5.0,10,0.036,0.5,0.05,0.9441322684288025,0.03095213696360588,0,False
43,5.005728422198445,4.980000000000018,0.10099999999999909,160,-1.200112356163143,-2.070342662044185,-1.8238679933145399,2.201236559313283,0.3705974519252777,-0.005146501188722504,-0.10414515976091863,-0.0026465011887225045,0.0,-0.0025,True,True,26,5.0,10,0.016,0.5,0.052,0.9234336614608765,-0.06875082105398178,0,False
44,5.106444478034973,5.079999999999927,0.10099999999999909,160,-1.205353112690965,-2.0899851698988337,-1.8375983082475058,2.2071882169439427,0.3715994656085968,-0.0028163785202008984,-0.10696153828111954,-0.0028163785202008984,0.0,-0.0,False,False,26,5.0,10,0.036,0.5,0.052,0.9211410284042358,-0.07633278518915176,0,False
45,5.2074330621398985,5.17999999999995,0.10099999999999909,159,-1.2106527388149353,-2.1088308788519403,-1.8492583372026048,2.2133299905788655,0.3726334869861603,-0.005406343142492751,-0.11236788142361229,-0.002906343142492751,0.0,-0.0025,True,True,27,5.0,10,0.016,0.5,0.054,0.8617343306541443,-0.05158145725727081,0,False
46,5.308756852988154,5.279999999999973,0.10099999999999909,159,-1.2159653674034085,-2.127045859909511,-1.8605019162625216,2.219604349769834,0.37368983030319214,-0.0029690838334579554,-0.11533696525707024,-0.0029690838334579554,0.0,-0.0,False,False,27,5.0,10,0.036,0.5,0.054,0.8604741096496582,-0.05573530122637749,0,False
47,5.409460810013115,5.3799999999999955,0.10099999999999909,158,-1.2213964573865992,-2.1448538845688545,-1.879405085958683,2.2261143182733476,0.374785840511322,-0.005580576302983342,-0.12091754156005358,-0.0030805763029833418,0.0,-0.0025,True,True,28,5.0,10,0.016,0.5,0.056,0.8255670666694641,-0.14664003252983093,0,False
48,5.509559461381286,5.480000000000018,0.10000000000002274,156,-1.2271838251600604,-2.1621005459342197,-1.9089760664656392,2.233075148474122,0.37595775723457336,-0.003293928158641918,-0.1242114697186955,-0.003293928158641918,0.0,-0.0,False,False,28,5.0,10,0.036,0.5,0.056,0.8200623989105225,-0.15980318188667297,0,False
49,5.7094303970225155,5.67999999999995,0.1999999999999318,311,-1.240060122708346,-2.1956509321071067,-1.9645689905270698,2.248588189581745,0.37856951355934143,-0.009840912140750904,-0.1340523818594464,-0.007340912140750905,0.0,-0.0025,True,True,29,5.0,10,0.036,0.5,0.058,0.8091033697128296,-0.1442132443189621,0,False
50,5.810430701356381,5.779999999999973,0.10099999999999909,158,-1.2474335967416332,-2.21279313335093,-1.9877242071805945,2.2574850521276066,0.380067378282547,-0.006710076272241428,-0.14076245813168783,-0.004210076272241427,0.0,-0.0025,True,True,30,5.0,10,0.016,0.5,0.06,0.8629527688026428,-0.11766373366117477,0,False
