episode,policy_type,fixed_fps,mean_fps,success,outcome,outcome_str,n_steps,episode_return,fresh_observations,native_scans,final_goal_distance_m,final_obs_interval,fresh_observation_ratio,native_scans_per_fresh_observation
1,fixed,0.2,0.2,True,1,SUCCESS,71,2.3734371729561268,3,390,0.19769763225417147,250,0.007692307692307693,130.0
2,fixed,0.2,0.19999999999999998,False,4,TIMEOUT,391,-0.9807363206353175,11,2505,2.034611564683223,250,0.004391217564870259,227.72727272727272
3,fixed,0.2,0.2,True,1,SUCCESS,159,2.434468658843984,5,854,0.19668998645364424,250,0.00585480093676815,170.8
4,fixed,0.2,0.19999999999999998,False,4,TIMEOUT,410,-0.9420910282614291,12,2528,1.6901884543122336,250,0.004746835443037975,210.66666666666666
5,fixed,0.2,0.2,True,1,SUCCESS,44,2.3094031497755356,2,243,0.1982603242919283,250,0.00823045267489712,121.5
6,fixed,0.2,0.2,True,1,SUCCESS,179,2.4263617034413847,6,1143,0.19760210958303517,250,0.005249343832020997,190.5
7,fixed,0.2,0.19999999999999998,True,1,SUCCESS,289,2.447319720976327,9,1809,0.1960230757962321,250,0.004975124378109453,201.0
8,fixed,0.2,0.20000000000000004,False,2,COLL_WALL,101,-1.5340718874300143,4,506,3.1500465900072934,250,0.007905138339920948,126.5
9,fixed,0.2,0.19999999999999998,False,3,COLL_OBST,243,-1.2420578641178608,8,1506,2.5029453475756576,250,0.005312084993359893,188.25
10,fixed,0.2,0.2,False,2,COLL_WALL,47,-1.1687309790001346,3,256,1.9102158662291133,250,0.01171875,85.33333333333333
