t_wall,t_sim,x,y,yaw,goal_x,goal_y
0.08366473624482751,0.0800000000000054,-1.8349390417520823,0.9214723398800237,3.139947804331762,2.0,-0.5
0.2839166889898479,0.28000000000000114,-1.8716563918395235,0.9153494326362132,-2.794343419134169,2.0,-0.5
0.38408521423116326,0.38000000000000256,-1.8897227531507252,0.9068794859553596,-2.6241632171771134,2.0,-0.5
0.48412474105134606,0.480000000000004,-1.9074893371730361,0.8960702533437739,-2.5790406009285425,2.0,-0.5
0.6842404049821198,0.6799999999999997,-1.9443927026425016,0.8741394341850891,-2.7039898653686385,2.0,-0.5
0.7843702309764922,0.7800000000000011,-1.9609480405990092,0.8678893909343267,-2.8513306035324635,2.0,-0.5
0.8840613211505115,0.8800000000000026,-1.9814569508560862,0.8626109014277544,-2.9266748211408586,2.0,-0.5
0.9843852752819657,0.980000000000004,-2.003128796169074,0.8585176496883817,-2.971656385457383,2.0,-0.5
1.08437912305817,1.0800000000000054,-2.0246512123787883,0.8543453531131077,-2.9352446152390548,2.0,-0.5
1.2845540260896087,1.2800000000000011,-2.066759877437731,0.8427870858107601,-2.7869240767944583,2.0,-0.5
1.3847035020589828,1.3800000000000026,-2.0869036733124093,0.8343083978075823,-2.7107456182971656,2.0,-0.5
1.484306462109089,1.480000000000004,-2.106460176082909,0.8245190607501536,-2.6401746224176184,2.0,-0.5
1.6845059851184487,1.6799999999999997,-2.1429976270291555,0.8006286059682317,-2.4745900212874967,2.0,-0.5
1.7845118432305753,1.7800000000000011,-2.15948098667149,0.7863625494056857,-2.3728458624717557,2.0,-0.5
1.8847564980387688,1.8800000000000026,-2.174291097964784,0.7703958455858537,-2.264097845513843,2.0,-0.5
1.9849139442667365,1.980000000000004,-2.1873280477224846,0.7529204351521103,-2.16708739477786,2.0,-0.5
2.084663893096149,2.0800000000000054,-2.198825401123748,0.734366125291748,-2.0800533273108734,2.0,-0.5
2.2860239762812853,2.280000000000001,-2.216755067963265,0.6945972573691409,-1.9053180556972378,2.0,-0.5
2.386100623290986,2.3800000000000026,-2.2230586434511137,0.673667477085948,-1.8283654936713603,2.0,-0.5
2.4861744199879467,2.480000000000004,-2.2279192037622026,0.6523390522646745,-1.7584631496734668,2.0,-0.5
2.5862643062137067,2.5800000000000054,-2.231341201706065,0.6307134776461908,-1.700840357376384,2.0,-0.5
2.685846177395433,2.6799999999999997,-2.233633033947456,0.6089367463450241,-1.6481824332714976,2.0,-0.5
2.8862467082217336,2.8800000000000026,-2.2348252977508594,0.5652174746900589,-1.5476907956819683,2.0,-0.5
2.9860527771525085,2.980000000000004,-2.233776477704939,0.5433895936662652,-1.4981005784542611,2.0,-0.5
3.0861216140910983,3.0800000000000054,-2.2316566018668245,0.5216563894668081,-1.4487825485772925,2.0,-0.5
3.1861367910169065,3.1799999999999997,-2.228524376045421,0.5002426483771388,-1.4054727298616887,2.0,-0.5
3.386202356312424,3.3800000000000026,-2.220136969675984,0.45955530728539556,-1.3269826683130652,2.0,-0.5
3.4865063903853297,3.480000000000004,-2.215237111464646,0.44134483927070983,-1.2884542114072304,2.0,-0.5
3.5866426373831928,3.5800000000000054,-2.2092864904832332,0.422192598414099,-1.253025266762317,2.0,-0.5
3.6862526470795274,3.6799999999999997,-2.202495979241274,0.4025948722188455,-1.2204670029587452,2.0,-0.5
3.886706518009305,3.8800000000000026,-2.187261360737508,0.36438485344618404,-1.1632178185231776,2.0,-0.5
3.986804685089737,3.980000000000004,-2.1793385959917866,0.34669102127303536,-1.1327403866373298,2.0,-0.5
4.086823762394488,4.080000000000005,-2.1713547798402373,0.33028901901332636,-1.1027613842469541,2.0,-0.5
4.186448113061488,4.18,-2.162338537848228,0.31308406774114217,-1.0767981863513052,2.0,-0.5
4.386842824053019,4.380000000000003,-2.1422144647281645,0.2770684427210571,-1.054352860893364,2.0,-0.5
4.486871222034097,4.480000000000004,-2.1317583077800877,0.25845847079971596,-1.0607325577212101,2.0,-0.5
4.58666732115671,4.580000000000005,-2.1214609206177104,0.2399132958279625,-1.062692539454661,2.0,-0.5
4.687752029392868,4.68,-2.1111569121526066,0.22148200323646697,-1.0603818874490647,2.0,-0.5
4.788059014361352,4.780000000000001,-2.1007542865633195,0.20292056985768053,-1.0654689229336411,2.0,-0.5
4.888155749998987,4.880000000000003,-2.090456881186237,0.18410840757672317,-1.0739445798909781,2.0,-0.5
5.08810717612505,5.080000000000005,-2.0696769266196253,0.14653982091354553,-1.0450624453694748,2.0,-0.5
5.187909465283155,5.18,-2.0586257243419372,0.12797713185656207,-1.0300571698457224,2.0,-0.5
5.287952742073685,5.280000000000001,-2.047426827057903,0.10941836150409529,-1.0235675720644761,2.0,-0.5
5.38838190631941,5.380000000000003,-2.036121536550604,0.09081432337150615,-1.0340580031430424,2.0,-0.5
5.588525700382888,5.580000000000005,-2.0148974623015525,0.05311009139836257,-1.0601729724769413,2.0,-0.5
5.688285829033703,5.68,-2.004613046022231,0.03573542200509782,-1.0210750898856087,2.0,-0.5
5.788302197121084,5.780000000000001,-1.9936582731132708,0.018528536572465327,-1.0019774755886346,2.0,-0.5
5.888629680965096,5.880000000000003,-1.9823354466516572,1.5272149255732975e-07,-1.033422221774274,2.0,-0.5
6.088472888339311,6.080000000000005,-1.9636989762414563,-0.03648274513689234,-1.2205566843642177,2.0,-0.5
6.1886973939836025,6.18,-1.9583661905919587,-0.05452711736682019,-1.333857521580165,2.0,-0.5
6.288479513023049,6.280000000000001,-1.9539166335181042,-0.0730282710490442,-1.3225164239494813,2.0,-0.5
6.388416861183941,6.380000000000003,-1.9483268662812538,-0.09322921103364486,-1.2783145908545268,2.0,-0.5
6.5885014263913035,6.580000000000005,-1.9337810849472847,-0.1336766152356415,-1.1805469386981484,2.0,-0.5
6.688551483210176,6.68,-1.9255836542298672,-0.15273111921073285,-1.1454896526732616,2.0,-0.5
6.788563780020922,6.780000000000001,-1.9168953934488,-0.17112593163031883,-1.1111834846339375,2.0,-0.5
6.888752106111497,6.880000000000003,-1.907660544165681,-0.18900778666412235,-1.0762177636623986,2.0,-0.5
7.088736261241138,7.080000000000005,-1.8869391816287624,-0.22457084260239946,-1.0109578573982743,2.0,-0.5
7.188824008218944,7.18,-1.87527805881525,-0.2425722021117327,-0.9820709672253609,2.0,-0.5
7.289021374192089,7.280000000000001,-1.8629669524191397,-0.2606153930842836,-0.9597335717797293,2.0,-0.5
7.388775954023004,7.380000000000003,-1.8503162303227128,-0.27827571319402084,-0.9381697814145384,2.0,-0.5
7.589007596950978,7.580000000000005,-1.8240409140417817,-0.31256266693706175,-0.8938831628906092,2.0,-0.5
7.688968615140766,7.68,-1.8103849560380751,-0.32915066585878133,-0.870058971504287,2.0,-0.5
7.789007752202451,7.780000000000001,-1.7963374604371745,-0.3454068371365397,-0.8458744831597385,2.0,-0.5
7.888977949973196,7.880000000000003,-1.7818924331607495,-0.3613241748252702,-0.8216712436999912,2.0,-0.5
8.089508241042495,8.080000000000005,-1.751653848565931,-0.39257874370864954,-0.7845007010004567,2.0,-0.5
8.189388010185212,8.18,-1.7362877716179526,-0.4076617989744149,-0.7656121426367635,2.0,-0.5
8.289599216077477,8.280000000000001,-1.7207321499220705,-0.4223040258001057,-0.745094618926004,2.0,-0.5
8.38940011523664,8.380000000000003,-1.7048204547194352,-0.4366684889614182,-0.7231722771159071,2.0,-0.5
8.58944677002728,8.580000000000005,-1.6722507167735714,-0.4641056827744677,-0.6711305318181929,2.0,-0.5
8.689690116327256,8.68,-1.6558343440182255,-0.47676174582915504,-0.6422566935946905,2.0,-0.5
8.789466615300626,8.780000000000001,-1.6385707371732983,-0.48931253213982884,-0.6214821865480881,2.0,-0.5
8.889487203210592,8.880000000000003,-1.6207419326633086,-0.5019508645529077,-0.6097602392448623,2.0,-0.5
9.089516448322684,9.080000000000005,-1.5847319247784555,-0.5266258549532619,-0.5916182782425464,2.0,-0.5
9.189800373278558,9.18,-1.5665315165603795,-0.5387276313207057,-0.5802636604447622,2.0,-0.5
9.289975279010832,9.280000000000001,-1.5481523433246687,-0.5506007655979055,-0.5673279464395911,2.0,-0.5
9.3899682671763,9.380000000000003,-1.5295719261737057,-0.5622518988607275,-0.5508571791788044,2.0,-0.5
9.589997162111104,9.580000000000005,-1.4917142851521146,-0.5845357710170164,-0.5149527656127352,2.0,-0.5
9.690095109399408,9.68,-1.4725129004197512,-0.5952149584809593,-0.49971213271083653,2.0,-0.5
9.78983271913603,9.780000000000001,-1.4531548107563907,-0.6056242444663236,-0.4889400335276543,2.0,-0.5
9.890867467969656,9.880000000000003,-1.433709577528444,-0.6158802753315213,-0.4809294592545027,2.0,-0.5
9.991252933163196,9.980000000000004,-1.4141834586923439,-0.6259799497893654,-0.473081296914408,2.0,-0.5
10.191175489220768,10.18,-1.3748864318536447,-0.6457264679880131,-0.4635133856135419,2.0,-0.5
10.292318797204643,10.280000000000001,-1.3552227059432744,-0.6556067310985276,-0.46663231267210825,2.0,-0.5
10.392040187027305,10.380000000000003,-1.3356672704728307,-0.6654002372346772,-0.4482736664390365,2.0,-0.5
10.492085065227002,10.480000000000004,-1.3157633520695486,-0.6746645456788068,-0.4247887212476511,2.0,-0.5
