episode_index,dir,start_wall,end_wall,duration_s,odom_rows,scan_rows,obstacle_rows
1,/home/turtlebot3_drlnav/evaluation_records/20260823-211327/episode_0001,1787519614.9585586,15.02660083770752,-1787519599.9319577,731,731,4386
2,/home/turtlebot3_drlnav/evaluation_records/20260823-211327/episode_0002,1787519631.575027,10.860596656799316,-1787519620.7144303,521,521,3126
