t_wall,t_sim,x,y,yaw,goal_x,goal_y
0.01877496112138033,0.020000000000000018,2.472190509801994,2.495865675847817,-3.1012744663866125,0.3,2.0
0.11729670641943812,0.12,2.466189581060527,2.4956236377239795,-3.101407701446619,0.3,2.0
0.21757918829098344,0.21999999999999997,2.4522095071815393,2.494983821868906,-3.08007350959582,0.3,2.0
0.3176374821923673,0.32000000000000006,2.4334511132115324,2.4930698356188645,-2.993896606362986,0.3,2.0
0.4176987251266837,0.42000000000000004,2.4122253665773847,2.4885052260658944,-2.8671997864733227,0.3,2.0
0.5179138071835041,0.52,2.3916921451500257,2.4813567566792853,-2.7445308476897856,0.3,2.0
0.6178937214426696,0.62,2.372151232567275,2.47177635879918,-2.6253261484851667,0.3,2.0
0.7178951553069055,0.72,2.3538672128926605,2.4599503682799067,-2.5080120854756762,0.3,2.0
0.81755799241364,0.8200000000000001,2.337060617159035,2.4460840097469254,-2.3946463995859313,0.3,2.0
1.0175657193176448,1.02,2.3082360359833385,2.4134248823946582,-2.192960106214266,0.3,2.0
1.1180264092981815,1.1199999999999999,2.2964999089252656,2.3952946741895462,-2.0919848874518943,0.3,2.0
1.3176849302835763,1.32,2.2793118142151143,2.3561485600911354,-1.8693008433355918,0.3,2.0
1.5179366553202271,1.52,2.2719300053760696,2.314132921622707,-1.6126296323359721,0.3,2.0
1.618185377214104,1.6199999999999999,2.2725593486342928,2.29242428210174,-1.4674465816982898,0.3,2.0
1.8182929642498493,1.82,2.283518480536599,2.2509166600491883,-1.1490724708420508,0.3,2.0
1.9177502421662211,1.9200000000000002,2.2937359803880377,2.232430562466637,-0.9801686681138492,0.3,2.0
2.0183527511544526,2.0199999999999996,2.306977639685834,2.2158500961992074,-0.8074063120096503,0.3,2.0
2.1181526063010097,2.12,2.322816095623121,2.2019526530297258,-0.6269008627437566,0.3,2.0
2.317828506231308,2.3200000000000003,2.3628668636219667,2.1824984775350353,-0.2666627138002687,0.3,2.0
2.5185659173876047,2.5199999999999996,2.4047166841331813,2.179673911482665,0.1416768740615639,0.3,2.0
2.618603151291609,2.62,2.425316722197156,2.1843703151467277,0.2724764763047414,0.3,2.0
2.8188370461575687,2.8200000000000003,2.467887344289242,2.1953678248901483,0.16788408628652965,0.3,2.0
2.9187077414244413,2.92,2.4897679974676175,2.1978683871031985,0.05208947447578829,0.3,2.0
3.018687424249947,3.0199999999999996,2.511672372236927,2.1983909408713327,0.024978776513312095,0.3,2.0
3.118498479016125,3.12,2.5332980136405516,2.199700724288892,0.12123411561055991,0.3,2.0
3.31828120816499,3.3200000000000003,2.576182487875171,2.207767521019692,0.15859481361822522,0.3,2.0
3.5186260524205863,3.5199999999999996,2.619912060157902,2.210222355094426,0.019267479872808038,0.3,2.0
3.618695255368948,3.62,2.6414673390260557,2.211535142791621,0.12511755469525937,0.3,2.0
3.7187945879995823,3.7199999999999998,2.662718142051988,2.2155563359271806,0.2156571357394976,0.3,2.0
3.819018340203911,3.8199999999999994,2.6841221200784102,2.220082652785185,0.178918194299785,0.3,2.0
3.9193684812635183,3.92,2.705958633677522,2.222615458061033,0.05258921882782806,0.3,2.0
4.01967304199934,4.02,2.7278570367650836,2.2229512032798056,0.006566765536894649,0.3,2.0
4.098689562175423,4.1,2.7452053891817183,2.223402805672372,0.05908545419456355,0.3,2.0
