step,chosen_fps,prob_0.2hz,prob_0.5hz,prob_1hz,prob_5hz,prob_10hz
2,10.0,0.0013725231401622295,0.010917436331510544,0.1524941474199295,0.33979111909866333,0.4954248070716858
3,10.0,0.0010696554090827703,0.009337692521512508,0.1465248167514801,0.3384994864463806,0.5045683979988098
4,10.0,0.0009545668144710362,0.008684785105288029,0.14373081922531128,0.3377434313297272,0.5088863372802734
5,10.0,0.0009227882837876678,0.008491907268762589,0.14285701513290405,0.3374316394329071,0.510296642780304
6,10.0,0.000912344956304878,0.00842827744781971,0.14256048202514648,0.3371840715408325,0.5109148025512695
7,10.0,0.0008915986982174218,0.008301563560962677,0.14195871353149414,0.3370385766029358,0.5118095278739929
8,10.0,0.0008735610172152519,0.008192099630832672,0.14146214723587036,0.33693569898605347,0.5125365853309631
9,10.0,0.0008629544754512608,0.008126519620418549,0.14113466441631317,0.3368145525455475,0.5130613446235657
10,10.0,0.0008567782933823764,0.008090718649327755,0.1409289687871933,0.336711585521698,0.5134119987487793
11,10.0,0.0008546173921786249,0.008081194944679737,0.14088968932628632,0.33671846985816956,0.5134560465812683
12,10.0,0.0008494940120726824,0.008051726967096329,0.14075878262519836,0.3366861939430237,0.5136538743972778
13,10.0,0.0008444754057563841,0.008023560047149658,0.14065076410770416,0.3366847634315491,0.5137963891029358
14,10.0,0.00084138591773808,0.008005371317267418,0.1405666619539261,0.3366793096065521,0.513907253742218
15,10.0,0.0008407640270888805,0.008001877926290035,0.14055241644382477,0.3367137014865875,0.5138912200927734
16,10.0,0.0008397836936637759,0.00799593236297369,0.14051657915115356,0.33672094345092773,0.5139268040657043
17,10.0,0.0008322368375957012,0.007948984391987324,0.14028067886829376,0.3366233706474304,0.5143147110939026
18,10.0,0.0008333605946972966,0.007954929023981094,0.14029712975025177,0.3365876376628876,0.5143269300460815
19,10.0,0.0008332052384503186,0.007952998392283916,0.1402631551027298,0.3365640938282013,0.5143865346908569
20,10.0,0.0008330497075803578,0.007951803505420685,0.14024955034255981,0.3365577757358551,0.5144078135490417
21,10.0,0.0008344226516783237,0.007957911118865013,0.14026787877082825,0.33654075860977173,0.5143990516662598
22,10.0,0.0008367460686713457,0.007970904931426048,0.14032843708992004,0.336536169052124,0.5143277645111084
23,10.0,0.0008421630482189357,0.008003097027540207,0.14048273861408234,0.33656641840934753,0.5141055583953857
24,10.0,0.0008475539507344365,0.008037005551159382,0.1406567096710205,0.33664339780807495,0.5138153433799744
25,10.0,0.0008482526754960418,0.008041261695325375,0.1406891793012619,0.3366544544696808,0.513766884803772
26,10.0,0.0008516095695085824,0.008061573840677738,0.14080479741096497,0.3366882801055908,0.5135936737060547
27,10.0,0.0008572287042625248,0.008096600882709026,0.14099842309951782,0.3367791473865509,0.5132685899734497
28,10.0,0.0008585313335061073,0.008104288950562477,0.14104928076267242,0.3367978632450104,0.5131900906562805
29,10.0,0.0008613452082499862,0.008121168240904808,0.14114196598529816,0.3368323743343353,0.5130431056022644
30,10.0,0.0008582969312556088,0.008100678212940693,0.1410209685564041,0.3367643356323242,0.513255774974823
31,10.0,0.0008562206639908254,0.008087338879704475,0.1409449726343155,0.3367210328578949,0.5133903622627258
32,10.0,0.0008543283329345286,0.00807550735771656,0.1408689171075821,0.3366779685020447,0.513523280620575
33,10.0,0.0008539877599105239,0.008073747158050537,0.14085599780082703,0.3367074429988861,0.5135087966918945
34,10.0,0.000853364763315767,0.00806983932852745,0.1408313512802124,0.33672434091567993,0.513521134853363
35,10.0,0.0008520589908584952,0.008061949163675308,0.1407829076051712,0.3367176651954651,0.5135854482650757
36,10.0,0.0008527695317752659,0.008065633475780487,0.14078745245933533,0.33672621846199036,0.5135678648948669
37,10.0,0.0008532798383384943,0.008068351075053215,0.14079022407531738,0.3367370665073395,0.5135511159896851
