step,x,y,wall_time,sim_time
1,-2.3123381786638975,2.2414716014104434,0.08854397293180227,0.07999999999998408
2,-2.3239636076488344,2.2647104139238814,0.3061832969542593,0.28000000000000114
3,-2.3275468894681017,2.28054811679855,0.40908336197026074,0.37999999999999545
4,-2.330134654140503,2.301571226231506,0.5088079038541764,0.47999999999998977
5,-2.331307818673883,2.3236486288648037,0.6084999148733914,0.5799999999999841
6,-2.330869012536692,2.3455371749485567,0.7084563849493861,0.6800000000000068
7,-2.328830682855956,2.366780593586227,0.8089445198420435,0.7800000000000011
8,-2.325454311052962,2.3857473504787947,0.9086477719247341,0.8799999999999955
9,-2.3209652413411104,2.401925798949945,1.0089687979780138,0.9799999999999898
10,-2.3152807405942464,2.41670594650528,1.108999156858772,1.079999999999984
11,-2.3079418849615165,2.4311710771642208,1.2090652158949524,1.1800000000000068
12,-2.2984663975099866,2.445664955257486,1.3092486339155585,1.2800000000000011
13,-2.2862645147276135,2.4603575021369726,1.4088380259927362,1.3799999999999955
14,-2.2711158618512566,2.475165399987113,1.50938829081133,1.4799999999999898
15,-2.2539396592048555,2.4881429080121493,1.608921883860603,1.579999999999984
16,-2.2348969418763667,2.4983837854058377,1.7091022809036076,1.6800000000000068
17,-2.214153289227124,2.5055825094192707,1.809657535981387,1.7800000000000011
18,-2.193563679543083,2.5107299314449527,1.9093442778103054,1.8799999999999955
19,-2.1736171365580526,2.5143441643314066,2.0092567978426814,1.9799999999999898
20,-2.1543367871728707,2.516817568507021,2.1097221428062767,2.079999999999984
21,-2.135064611282813,2.518177214030979,2.2100607689935714,2.180000000000007
22,-2.1163896877987898,2.5185102129147556,2.309961959021166,2.280000000000001
23,-2.0981367904848005,2.5181330289846913,2.4099663679953665,2.3799999999999955
24,-2.078707971550584,2.517920992375616,2.5099996868520975,2.4799999999999898
25,-2.0594081571409943,2.517922260432808,2.609604710014537,2.579999999999984
26,-2.040047905825174,2.517714286459399,2.710005875909701,2.680000000000007
27,-2.0221747030200037,2.5174259311082627,2.80967795685865,2.780000000000001
28,-2.0049405963657154,2.517097846572234,2.9103194610215724,2.8799999999999955
29,-1.9874241966353268,2.5167579532892637,3.009728604927659,2.9799999999999898
30,-1.9700094199587186,2.5164397372997924,3.110372429015115,3.079999999999984
31,-1.9526693583670323,2.5160548989775267,3.2098402329720557,3.180000000000007
32,-1.9354479915387033,2.5156119314018146,3.3102464978583157,3.280000000000001
33,-1.9185920786532396,2.515076522359198,3.410041398834437,3.3799999999999955
34,-1.9014184360388033,2.514562230804682,3.509897999931127,3.4799999999999898
35,-1.8838102875153204,2.5139696947011827,3.6099336778279394,3.579999999999984
36,-1.866152826854783,2.513237442248125,3.7113379158545285,3.680000000000007
37,-1.8489682885101428,2.512987088501147,3.8114298738073558,3.780000000000001
38,-1.831532031594341,2.513505692989031,3.911928689805791,3.8799999999999955
39,-1.8113015639353967,2.5138475735685613,4.01312854886055,3.9799999999999898
40,-1.791114897729001,2.5136063762426386,4.113837691955268,4.079999999999984
41,-1.77094588295588,2.513204871549268,4.214229037985206,4.180000000000007
42,-1.749905662908929,2.512812398699903,4.3142903367988765,4.280000000000001
43,-1.728318090327196,2.512746582772478,4.414378745015711,4.3799999999999955
44,-1.7065978984223322,2.51296257374162,4.51453565293923,4.47999999999999
45,-1.684556633014948,2.512317491116222,4.614460972836241,4.579999999999984
46,-1.6626081806211326,2.5107510015625336,4.71484933886677,4.680000000000007
47,-1.640765348895499,2.5096709770025547,4.8145831800065935,4.780000000000001
48,-1.618844957604064,2.5097356873541368,4.914620409021154,4.8799999999999955
49,-1.5967632804483505,2.509255888150838,5.01453482802026,4.97999999999999
50,-1.5747145966869691,2.507909268163078,5.1149268839508295,5.079999999999984
51,-1.5528002615128964,2.5056311298855025,5.21467127581127,5.180000000000007
52,-1.5309512517938633,2.504139971449278,5.314893143018708,5.280000000000001
53,-1.5089648636756152,2.502617199165669,5.414958521956578,5.3799999999999955
54,-1.4870261116056955,2.5005738424945663,5.514975619968027,5.47999999999999
55,-1.465133144819957,2.4983974686452113,5.614936139900237,5.579999999999984
56,-1.4432387006927478,2.4964113228483917,5.714943618979305,5.680000000000007
57,-1.42134227817885,2.494673791898471,5.8152364059351385,5.780000000000001
58,-1.3994372301784865,2.4934577861664096,5.915154975838959,5.8799999999999955
59,-1.3774551460262385,2.4929189539368624,6.015309722861275,5.97999999999999
60,-1.3554315806649782,2.4917467149526376,6.115312871988863,6.079999999999984
61,-1.3334462435122383,2.4900089425551455,6.215515299933031,6.180000000000007
62,-1.311518893919016,2.4877412504856378,6.315350879915059,6.280000000000001
63,-1.2896526963620167,2.4849966255894924,6.415222940966487,6.3799999999999955
64,-1.2678541338368101,2.4817689682603596,6.515562526881695,6.47999999999999
65,-1.2461258652811393,2.478066163784629,6.615377496927977,6.579999999999984
66,-1.2244944022645594,2.473835486059291,6.715608294820413,6.680000000000007
67,-1.2029575307190492,2.469183596412121,6.815538133960217,6.780000000000001
68,-1.1815016922250723,2.4642069874413224,6.916388515848666,6.8799999999999955
69,-1.1601139488109005,2.4589894079359618,7.016337525798008,6.97999999999999
70,-1.1387554304711844,2.4535550031466773,7.116395954973996,7.079999999999984
71,-1.1175391009378242,2.447644796311739,7.216620891820639,7.180000000000007
72,-1.096401111515586,2.44145977032581,7.3167682299390435,7.280000000000001
73,-1.0753460544709785,2.4350122204599307,7.4163971319794655,7.3799999999999955
74,-1.054353118026364,2.4283780896065608,7.516756137832999,7.47999999999999
75,-1.0334248446544259,2.421565390630195,7.616838735993952,7.579999999999984
76,-1.0125248594056524,2.414687524462324,7.7167310959193856,7.680000000000007
77,-0.9916324355548777,2.40780548985539,7.81673353491351,7.780000000000001
78,-0.9707185935111607,2.4008654469171136,7.916891342960298,7.8799999999999955
79,-0.9499846003627184,2.393425697567232,8.017055890988559,7.97999999999999
80,-0.9293793375796894,2.3856946030388393,8.116687332978472,8.079999999999984
81,-0.9087221837246543,2.378180743035495,8.217004579957575,8.180000000000007
82,-0.8880085629162037,2.370727869442734,8.317236366914585,8.280000000000001
83,-0.8674337099210145,2.362937940339199,8.417268275981769,8.379999999999995
84,-0.8467317294097856,2.3555334476652607,8.51708426582627,8.47999999999999
85,-0.8262350129391974,2.347395190196074,8.616867146920413,8.579999999999984
86,-0.8061540985288246,2.338318029729523,8.717025195015594,8.680000000000007
87,-0.7865742395903789,2.3282499625437234,8.817068062955514,8.780000000000001
88,-0.7675057221999584,2.3171847058786064,8.917341879801825,8.879999999999995
89,-0.7489096843372534,2.3052986771288255,9.017355988966301,8.97999999999999
90,-0.7308207513330359,2.2926584141125974,9.117065630853176,9.079999999999984
91,-0.7132653631195545,2.2792865596563763,9.217557255877182,9.180000000000007
92,-0.6962870349298287,2.265200752636091,9.317487804917619,9.280000000000001
93,-0.6798957888332514,2.2504343514673866,9.417268595891073,9.379999999999995
94,-0.6640979429773688,2.235036155590435,9.517473013838753,9.47999999999999
95,-0.6489146794176901,2.219042216657442,9.617710030870512,9.579999999999984
96,-0.6343639685492115,2.202475702251469,9.717476551886648,9.680000000000007
97,-0.6205439832133633,2.1852719721160527,9.817537270020694,9.780000000000001
98,-0.6075532514396574,2.1674224296208124,9.917830916820094,9.879999999999995
99,-0.5954751285549679,2.1490585884206466,10.017852385994047,9.97999999999999
100,-0.5844181290243413,2.1303631116903983,10.118600148940459,10.079999999999984
101,-0.5742239096488222,2.111031793159559,10.219214232871309,10.180000000000007
102,-0.565377663474667,2.0923512366126022,10.318727215984836,10.280000000000001
103,-0.5574886776429642,2.073465735697114,10.419197500916198,10.379999999999995
104,-0.5498323888840775,2.0536204126150914,10.519087170949206,10.47999999999999
105,-0.5426138444641596,2.033324783549829,10.61884155194275,10.579999999999984
106,-0.5360299874191051,2.0124418327350875,10.718975199852139,10.680000000000007
107,-0.5301692009747421,1.991227675949629,10.819082657806575,10.780000000000001
108,-0.5250380304471459,1.9698214740166893,10.919308295939118,10.879999999999995
109,-0.5206541800812147,1.948236053231581,11.019115845905617,10.97999999999999
110,-0.5169631808379088,1.9266683171690093,11.11901814583689,11.079999999999984
