run_name,mean_fps,n_episodes,success_rate,mean_episode_return,std_episode_return,mean_n_steps,std_n_steps,mean_final_goal_distance_m,mean_fresh_observations,std_fresh_observations,mean_native_scans_per_fresh_observation
adaptive_timestep_20480_iterations_10_ckpt_20480_iterations_10,0.2,50,42.0,0.19307501438259236,1.8734103988135333,113.8,79.69843160313759,1.3750447322695314,4.44,2.060679499582601,137.7470079365079
fixed_0.2Hz,0.2,10,50.0,0.6123302326548604,1.7925317848917084,193.4,128.92804194588544,1.227428095118653,6.3,3.348133808556641,165.22772727272726
fixed_0.5Hz,0.5,14,28.57142857142857,-0.1831077918071297,1.6373431893596317,190.0,137.67612097133724,1.2284917031885318,13.142857142857142,8.534444017853627,78.9875134264232
fixed_1Hz,1.0,10,50.0,0.5375563736762168,1.8378264630677799,201.5,122.18203632285721,1.2833013123938357,25.9,15.719096666157379,45.379145534777116
adaptive_timestep_512000_iterations_250_ckpt_512000_iterations_250,3.1068277021442907,50,84.0,1.7447637319002656,1.29110596245224,204.88,117.09460107109977,0.4665595124489358,41.42,17.020094006790913,27.810771259614057
adaptive_adaptive_fps_fc_0.005_model,3.8963934172902466,13,61.53846153846154,0.8540056455796018,1.9074800196216852,192.53846153846155,155.39855230719365,0.9902897187463632,47.69230769230769,29.110887773859602,20.064869476486077
adaptive_timestep_675840_iterations_330_ckpt_675840_iterations_330,4.403189331521649,50,84.0,1.6749445338651574,1.288128206126001,202.74,120.0169671338182,0.4439158378099154,72.28,33.40601143506959,15.598838473077988
adaptive_adaptive_fps_fc_0.0025_model,5.0,50,92.0,1.8440877798864261,1.007008142718241,202.0,127.53336818260546,0.2931887134213583,118.2,65.04306265851878,9.885139192548554
fixed_5Hz,5.0,25,84.0,1.6221256157608155,1.2346179418646905,254.48,123.06229966972012,0.37490151245512765,154.44,77.29842430476833,9.90184306649904
adaptive_fps_fc_0.0,10.0,12,91.66666666666666,2.1309209938686124,0.912713823863681,233.91666666666666,108.1283637883953,0.24723044833411165,256.0,131.25166665608478,4.9885645353536106
fixed_10Hz,10.0,25,88.0,1.63218755907266,1.1724079272366414,250.84,133.287262707282,0.3436347476268871,293.96,161.4706115675543,4.99011729049571
