step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.08030655235052109,0.08000000000000002,0.03512676249526903,0.0023910105626557326,2.0280837174865702,10.0,5,False,0.0,0.0025,1,4,0.0010833135706713741,0.0010833135706713741,0,UNKNOWN: 0
2,0.18023168342188,0.18,0.0469523635586032,0.004466710405112534,2.017146913755303,0.2,250,True,0.0025,0.0025,2,4,0.00288683667206054,0.003970150242731914,0,UNKNOWN: 0
3,0.28016957407817245,0.2800000000000001,0.0673045692358246,0.008046836231101482,1.9983551681495808,0.2,250,False,0.0,0.0025,2,9,0.00925572652195758,0.013225876764689493,0,UNKNOWN: 0
4,0.38030592398718,0.38000000000000006,0.08882841404090595,0.012017205155461414,1.978569827448954,0.2,250,False,0.0,0.0025,2,14,0.009745113972434568,0.02297099073712406,0,UNKNOWN: 0
5,0.48043810296803713,0.48000000000000004,0.11032655345357735,0.016130806780654563,1.9588917589071573,0.2,250,False,0.0,0.0025,2,19,0.009692277914178857,0.03266326865130292,0,UNKNOWN: 0
6,0.5800519473850727,0.5800000000000001,0.13180625290495393,0.020350648431150285,1.9393073322333818,0.2,250,False,0.0,0.0025,2,24,0.00964615534847392,0.042309423999776836,0,UNKNOWN: 0
7,0.6801650570705533,0.6799999999999999,0.15327402360043002,0.024641691257906193,1.9198036252038746,0.2,250,False,0.0,0.0025,2,29,0.009606397522459651,0.05191582152223649,0,UNKNOWN: 0
8,0.7799847791902721,0.78,0.17473520741522533,0.028971770099820347,1.900369131728992,0.2,250,False,0.0,0.0025,2,34,0.009572306930416828,0.06148812845265332,0,UNKNOWN: 0
9,0.9808281334117055,0.98,0.21763096418799102,0.03763435171633667,1.8616900837667256,0.2,250,False,0.0,0.0025,2,44,0.019051060906199485,0.0805391893588528,0,UNKNOWN: 0
10,1.080669695045799,1.0799999999999998,0.23907489777052654,0.0419205847765854,1.8424264114688578,0.2,250,False,0.0,0.0025,2,49,0.009488170302996394,0.0900273596618492,0,UNKNOWN: 0
11,1.2802872601896524,1.28,0.28200802164542377,0.05031403564065147,1.8039794324838623,0.2,250,False,0.0,0.0025,2,59,0.018936757156408683,0.10896411681825788,0,UNKNOWN: 0
12,1.4808980263769627,1.48,0.3250295240615929,0.058366554112802546,1.7655875057123915,0.2,250,False,0.0,0.0025,2,69,0.018909641621561384,0.12787375843981927,0,UNKNOWN: 0
13,1.581041755154729,1.5799999999999998,0.3465788658188141,0.06223247902276597,1.7463981804552968,0.2,250,False,0.0,0.0025,2,74,0.00945155125272022,0.13732530969253948,0,UNKNOWN: 0
14,1.78136715432629,1.78,0.38976121688396514,0.06959185074744452,1.7080117412035023,0.2,250,False,0.0,0.0025,2,84,0.01890693878689809,0.15623224847943756,0,UNKNOWN: 0
15,1.8808219693601131,1.8800000000000001,0.41139626576624555,0.07306966478371876,1.6888075465382528,0.2,250,False,0.0,0.0025,2,89,0.009458875062775521,0.16569112354221308,0,UNKNOWN: 0
16,1.9812986361794174,1.9799999999999998,0.433057956664303,0.07640350578132502,1.669595209101871,0.2,250,False,0.0,0.0025,2,94,0.009462885720662893,0.17515400926287597,0,UNKNOWN: 0
17,2.0812479574233294,2.08,0.4547369777837597,0.07958534444714906,1.650380924481088,0.2,250,False,0.0,0.0025,2,99,0.009463844791027305,0.18461785405390327,0,UNKNOWN: 0
18,2.2814595461823046,2.2800000000000002,0.4981374162809915,0.08546110482409659,1.6119417342336975,0.2,250,False,0.0,0.0025,2,109,0.01893292087495114,0.2035507749288544,0,UNKNOWN: 0
19,2.481528317090124,2.48,0.5416141947651514,0.09062163466232588,1.5734430663536882,0.2,250,False,0.0,0.0025,2,119,0.018962216115172126,0.22251299104402653,0,UNKNOWN: 0
20,2.5810235920362175,2.58,0.563381345673862,0.09291216531426166,1.5541615153626818,0.2,250,False,0.0,0.0025,2,124,0.009496976312705825,0.23200996735673235,0,UNKNOWN: 0
21,2.7811730820685625,2.7800000000000002,0.6069606114723082,0.09687877369324197,1.5155272526416435,0.2,250,False,0.0,0.0025,2,134,0.019029002287818668,0.251038969644551,0,UNKNOWN: 0
22,2.8817964871414006,2.8800000000000003,0.6287574683419471,0.09854245268317033,1.4961814445653974,0.2,250,False,0.0,0.0025,2,139,0.009528625634730215,0.26056759527928125,0,UNKNOWN: 0
23,2.9817568282596767,2.98,0.6505560924593351,0.09998650606412933,1.4768150140361749,0.2,250,False,0.0,0.0025,2,144,0.009538783061771128,0.2701063783410524,0,UNKNOWN: 0
24,3.082046997267753,3.08,0.6723612388871617,0.10120754452845311,1.4574207033666624,0.2,250,False,0.0,0.0025,2,149,0.00955251520562472,0.2796588935466771,0,UNKNOWN: 0
25,3.2814438533969223,3.2800000000000002,0.7159899681639385,0.1029683117072584,1.4185388827015255,0.2,250,False,0.0,0.0025,2,159,0.01915093500641703,0.2988098285530941,0,UNKNOWN: 0
26,3.4822560073807836,3.48,0.7596119120659248,0.1038027007131298,1.3795435057824457,0.2,250,False,0.0,0.0025,2,169,0.019206866246303217,0.3180166947993973,0,UNKNOWN: 0
27,3.5823668870143592,3.58,0.7814047216468404,0.10386766644681766,1.3600112105455935,0.2,250,False,0.0,0.0025,2,174,0.00962047841917302,0.32763717321857033,0,UNKNOWN: 0
28,3.682331568095833,3.68,0.803185309747114,0.10369538868631924,1.340452716827707,0.2,250,False,0.0,0.0025,2,179,0.00963338227498463,0.33727055549355495,0,UNKNOWN: 0
29,3.781790104229003,3.78,0.8249557146325079,0.10328437085654223,1.320863776226456,0.2,250,False,0.0,0.0025,2,184,0.009648378647955006,0.3469189341415099,0,UNKNOWN: 0
30,3.881976233329624,3.8800000000000003,0.8467133296030186,0.10263312269893078,1.301244300233459,0.2,250,False,0.0,0.0025,2,189,0.009663418615032568,0.3565823527565425,0,UNKNOWN: 0
31,3.9824644192121923,3.98,0.8684515149038646,0.10174050466539936,1.2815980947091363,0.2,250,False,0.0,0.0025,2,194,0.009676584035489147,0.36625893679203164,0,UNKNOWN: 0
32,4.0823602713644505,4.08,0.8901640402931834,0.10060417545735255,1.2619275493797988,0.2,250,False,0.0,0.0025,2,199,0.009688572415043749,0.37594750920707537,0,UNKNOWN: 0
33,4.182715408038348,4.18,0.911849171172354,0.09922088837556949,1.2422309825861904,0.2,250,False,0.0,0.0025,2,204,0.009701389082640552,0.38564889828971594,0,UNKNOWN: 0
34,4.2826390489935875,4.279999999999999,0.9335108331468647,0.09758714699183564,1.2225013136577618,0.2,250,False,0.0,0.0025,2,209,0.009717693278834788,0.3953665915685507,0,UNKNOWN: 0
35,4.382843468338251,4.38,0.9551486148814996,0.09570023406810717,1.2027357103262926,0.2,250,False,0.0,0.0025,2,214,0.009735392486468456,0.4051019840550191,0,UNKNOWN: 0
36,4.482311594299972,4.4799999999999995,0.9767588292865739,0.0935580540663501,1.182934349608547,0.2,250,False,0.0,0.0025,2,219,0.009753004505886882,0.414854988560906,0,UNKNOWN: 0
37,4.582813040353358,4.58,0.9983358728465844,0.09115895208776892,1.1630992671973075,0.2,250,False,0.0,0.0025,2,224,0.00976961386083371,0.4246246024217397,0,UNKNOWN: 0
38,4.682221626397222,4.68,1.019874918589136,0.08850088741301303,1.143231613701539,0.2,250,False,0.0,0.0025,2,229,0.009785656492383197,0.43441025891412294,0,UNKNOWN: 0
39,4.78272476233542,4.779999999999999,1.0413731189048334,0.08558216264846497,1.123330769562568,0.2,250,False,0.0,0.0025,2,234,0.009802004282685165,0.4442122631968081,0,UNKNOWN: 0
40,4.882473465055227,4.88,1.062828805893961,0.08240117193614033,1.103395230137903,0.2,250,False,0.0,0.0025,2,239,0.00981909317281398,0.4540313563696221,0,UNKNOWN: 0
41,4.982448576018214,4.9799999999999995,1.0842395305275845,0.07895661364883572,1.083424198852107,0.2,250,False,0.0,0.0025,2,244,0.009836574409910193,0.4638679307795323,0,UNKNOWN: 0
42,5.083111531101167,5.08,1.105601023179938,0.0752476644342275,1.0634187378057622,0.2,250,False,0.0,0.0025,2,249,0.009853532517716689,0.473721463297249,0,UNKNOWN: 0
43,5.1829592334106565,5.18,1.1270297304028936,0.07121837275417804,1.0432485626607524,0.2,250,True,0.0025,0.0025,3,4,0.007434661151721348,0.4811561244489704,0,UNKNOWN: 0
44,5.282624686136842,5.279999999999999,1.1485548754762196,0.06633124473990758,1.022589821247804,0.2,250,False,0.0,0.0025,3,9,0.010175300624965177,0.49133142507393557,0,UNKNOWN: 0
