step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.19344694400206208,0.18000000000000682,0.8871741162838775,0.2001431064162684,1.7111426367038736,5.0,10,True,0.0025,0.0025,2,4,0.014537342700463562,0.014537342700463562,0,UNKNOWN: 0
2,0.2932477588765323,0.2799999999999727,0.9017094645703246,0.2136886133068171,1.6914015501941833,5.0,10,False,0.0,0.0025,2,9,0.011340229877577037,0.0258775725780406,0,UNKNOWN: 0
3,0.49302601907402277,0.47999999999996135,0.9311268118114908,0.24477508032913806,1.648659967503952,5.0,10,True,0.0025,0.0025,3,9,0.02205282148734652,0.04793039406538712,0,UNKNOWN: 0
4,0.6943154251202941,0.6800000000000068,0.9600436938916559,0.277858385741298,1.604724052708728,5.0,10,True,0.0025,0.0025,4,9,0.0227389033103575,0.07066929737574462,0,UNKNOWN: 0
5,0.794049140997231,0.7799999999999727,0.9740832550592824,0.2947659275196323,1.5827490146405663,5.0,10,True,0.0025,0.0025,5,4,0.010123519133008994,0.08079281650875361,0,UNKNOWN: 0
6,0.8943004519678652,0.8799999999999955,0.9879964732576699,0.3117826159547284,1.5607727374550584,5.0,10,False,0.0,0.0025,5,9,0.012624230941629191,0.0934170474503828,0,UNKNOWN: 0
7,1.0944123277440667,1.079999999999984,1.0156980472348458,0.3459273903149954,1.5168169967822949,5.0,10,True,0.0025,0.0025,6,9,0.022750292248282185,0.116167339698665,0,UNKNOWN: 0
8,1.2945530451834202,1.2799999999999727,1.043730809596659,0.3798103460302034,1.4728461211762314,5.0,10,True,0.0025,0.0025,7,9,0.022758986482144094,0.13892632618080908,0,UNKNOWN: 0
9,1.3946087681688368,1.3799999999999955,1.057884416596799,0.3966301434072353,1.4508641794542834,5.0,10,True,0.0025,0.0025,8,4,0.010127484923893513,0.1490538111047026,0,UNKNOWN: 0
10,1.5946957040578127,1.579999999999984,1.0862129385198436,0.43021240489397994,1.4069301233350788,5.0,10,True,0.0025,0.0025,9,4,0.022737835597427078,0.17179164670212965,0,UNKNOWN: 0
11,1.7946152319200337,1.7799999999999727,1.1143002444719827,0.46364237265401514,1.363268584523661,5.0,10,True,0.0025,0.0025,10,4,0.02258128854443675,0.1943729352465664,0,UNKNOWN: 0
12,1.8947598547674716,1.8799999999999955,1.1279688893538977,0.480413070969234,1.3416391716867129,5.0,10,False,0.0,0.0025,10,9,0.012424975371421683,0.20679791061798808,0,UNKNOWN: 0
13,2.094826820772141,2.079999999999984,1.1548972420126664,0.5144617065495886,1.2982620988146343,5.0,10,True,0.0025,0.0025,11,9,0.022417877622608065,0.22921578824059613,0,UNKNOWN: 0
14,2.2951698461547494,2.2799999999999727,1.1813396854372382,0.5491457676439933,1.2547224360450553,5.0,10,True,0.0025,0.0025,12,9,0.022511277082284262,0.2517270653228804,0,UNKNOWN: 0
15,2.395177708938718,2.3799999999999955,1.1945067557740652,0.5665828911108552,1.2329180421371444,5.0,10,True,0.0025,0.0025,13,4,0.010025492917300875,0.2617525582401813,0,UNKNOWN: 0
16,2.595297935884446,2.579999999999984,1.2213089747399923,0.6011397023373732,1.1892474754707754,5.0,10,True,0.0025,0.0025,14,4,0.022586474578670346,0.28433903281885164,0,UNKNOWN: 0
17,2.795625280123204,2.7799999999999727,1.2483125407022597,0.6350812637055443,1.1459137717058145,5.0,10,True,0.0025,0.0025,15,4,0.022392964320897976,0.30673199713974963,0,UNKNOWN: 0
18,2.895688342861831,2.8799999999999955,1.2618251177212845,0.6519196675741723,1.1243409157248831,5.0,10,False,0.0,0.0025,15,9,0.012392486392252912,0.31912448353200257,0,UNKNOWN: 0
19,3.096355975139886,3.099999999999966,1.290661790011213,0.6878489297541271,1.0824575988136733,5.0,10,True,0.0025,0.0025,16,9,0.021559792330851826,0.3406842758628544,0,UNKNOWN: 0
20,3.2953453809022903,3.2799999999999727,1.3142779091472854,0.7173668384247173,1.0405428614268983,5.0,10,True,0.0025,0.0025,17,9,0.021577841763723554,0.36226211762657795,0,UNKNOWN: 0
21,3.3958508297801018,3.3799999999999955,1.3275907195000973,0.7339907875504657,1.019266597033623,5.0,10,True,0.0025,0.0025,18,4,0.009722109914639883,0.37198422754121785,0,UNKNOWN: 0
22,3.5957165681757033,3.579999999999984,1.3546595696981363,0.7676352030878206,0.9761262840830545,5.0,10,True,0.0025,0.0025,19,4,0.02228187133266028,0.39426609887387815,0,UNKNOWN: 0
23,3.795503366738558,3.7799999999999727,1.3815319094490899,0.8019097600895055,0.932648223147259,5.0,10,True,0.0025,0.0025,20,4,0.022475890025161396,0.4167419888990395,0,UNKNOWN: 0
24,3.895513400901109,3.8799999999999955,1.3947745647166874,0.8193041618972982,0.9108483431668236,5.0,10,False,0.0,0.0025,20,9,0.012522899900184143,0.42926488879922364,0,UNKNOWN: 0
25,4.09573765611276,4.079999999999984,1.4206710341750763,0.8542878369372572,0.8675057885636756,5.0,10,True,0.0025,0.0025,21,9,0.02239804866818572,0.4516629374674094,0,UNKNOWN: 0
26,4.296071630902588,4.279999999999973,1.44571334075031,0.8894983789738486,0.8245883397186629,5.0,10,True,0.0025,0.0025,22,9,0.022153847467954395,0.4738167849353638,0,UNKNOWN: 0
27,4.395711777731776,4.3799999999999955,1.4578962383756593,0.9072574204968498,0.803256049519662,5.0,10,True,0.0025,0.0025,23,4,0.009754293832971418,0.4835710787683352,0,UNKNOWN: 0
28,4.595860242843628,4.579999999999984,1.4820828801500618,0.943058184116909,0.7605408423272288,5.0,10,True,0.0025,0.0025,24,4,0.022037670132428955,0.5056087489007641,0,UNKNOWN: 0
29,4.796171567868441,4.779999999999973,1.5060700242629002,0.9793977371472913,0.7176305184069569,5.0,10,True,0.0025,0.0025,25,4,0.022149754568387754,0.5277585034691519,0,UNKNOWN: 0
30,4.896260120905936,4.8799999999999955,1.5180968928129077,0.9975749201481353,0.696176396420308,5.0,10,False,0.0,0.0025,25,9,0.012324279873387507,0.5400827833425393,0,UNKNOWN: 0
31,5.096419177018106,5.079999999999984,1.5422863713966455,1.0338790078890274,0.6532767820142427,5.0,10,True,0.0025,0.0025,26,9,0.022143602508169588,0.5622263858507089,0,UNKNOWN: 0
32,5.296613102778792,5.279999999999973,1.5666223553768157,1.0700932258750955,0.6104392119838703,5.0,10,True,0.0025,0.0025,27,9,0.02210796123368228,0.5843343470843912,0,UNKNOWN: 0
33,5.396720624994487,5.3799999999999955,1.5789142007996697,1.0880890741307765,0.5890533742138363,5.0,10,True,0.0025,0.0025,28,4,0.009785054134062433,0.5941194012184536,0,UNKNOWN: 0
34,5.596403845120221,5.579999999999984,1.6038015621862864,1.1239597633444023,0.5462412060890615,5.0,10,True,0.0025,0.0025,29,4,0.022093369156966393,0.61621277037542,0,UNKNOWN: 0
35,5.796524371020496,5.779999999999973,1.6292437332767573,1.1596784394638802,0.5032683067428054,5.0,10,True,0.0025,0.0025,30,4,0.022185700903712233,0.6383984712791322,0,UNKNOWN: 0
36,5.896501924842596,5.8799999999999955,1.6422531526356121,1.1772762799347747,0.4818022361246036,5.0,10,False,0.0,0.0025,30,9,0.01233114374222606,0.6507296150213583,0,UNKNOWN: 0
37,6.096757770050317,6.079999999999984,1.6687032849254972,1.211675842407048,0.4391905394847708,5.0,10,True,0.0025,0.0025,31,9,0.02197820869089851,0.6727078237122568,0,UNKNOWN: 0
38,6.296963975764811,6.279999999999973,1.6932479432104073,1.242275920517273,0.4006476174138251,5.0,10,True,0.0025,0.0025,32,9,0.019640908820976494,0.6923487325332333,0,UNKNOWN: 0
39,6.3970262091606855,6.3799999999999955,1.7052098221996963,1.2566001343078839,0.38228881055803443,5.0,10,True,0.0025,0.0025,33,4,0.008046181939910333,0.7003949144731436,0,UNKNOWN: 0
40,6.597097596153617,6.579999999999984,1.7293289487388035,1.2845462346780303,0.34595251308265695,5.0,10,True,0.0025,0.0025,34,4,0.01837331748779551,0.7187682319609391,0,UNKNOWN: 0
41,6.797113332897425,6.779999999999973,1.7535631699164471,1.3118159057613772,0.3100715469778244,5.0,10,True,0.0025,0.0025,35,4,0.018111753241576486,0.7368799852025155,0,UNKNOWN: 0
42,6.896906508132815,6.8799999999999955,1.765615518421714,1.3251299007773714,0.29243056522611827,5.0,10,False,0.0,0.0025,35,9,0.010133828664004352,0.7470138138665199,0,UNKNOWN: 0
43,7.097414300777018,7.079999999999984,1.7903837019200206,1.3519703418703495,0.2566160025347859,5.0,10,True,0.0025,0.0025,36,9,0.018073607926050003,0.7650874217925698,0,UNKNOWN: 0
44,7.2971721407957375,7.279999999999973,1.8157938057815741,1.378728069392859,0.22054206603037504,5.0,10,True,0.0025,0.0025,37,9,0.01822260472331796,0.7833100265158878,0,UNKNOWN: 0
45,7.397178214043379,7.3799999999999955,1.8286016351509289,1.3917641570879105,0.20271260567947058,5.0,10,True,0.0025,0.0025,38,4,0.007742099839497326,0.7910521263553851,0,UNKNOWN: 0
46,7.400778412818909,7.399999999999977,1.8311652994767422,1.3942908928721358,0.1991973182766255,5.0,10,False,0.0,0.0025,38,5,1.5020193502122816,2.2930714765676665,1,SUCCESS
