t_wall,t_sim,x,y,yaw,robot_tilt_raw,cmd_linear,cmd_angular,goal_x,goal_y
0.0013315677642822266,0.016000000000000014,0.10812965925986516,0.007785921555858167,0.16972927190339734,-0.0013354898918423567,0.0,0.0,2.0,-0.5
0.0018205642700195312,0.03600000000000003,0.11244798661818609,0.008542338197475467,0.17711538421632358,-0.0013072121233690414,0.21897481083869935,0.10351165384054184,2.0,-0.5
0.01901388168334961,0.05600000000000005,0.11673149454493902,0.009323694837322176,0.1835058187826233,-0.0012713493009094776,0.21743266701698302,0.10631589591503143,2.0,-0.5
0.03910541534423828,0.07600000000000007,0.12100142532986262,0.01012354629355998,0.1862055113364316,-0.0012286258062706047,0.20470537781715392,0.09736693650484085,2.0,-0.5
0.059172868728637695,0.09600000000000009,0.12504244722685146,0.010884514416575687,0.1859303445879727,-0.0011704032679189602,0.20492879748344422,0.10652102530002594,2.0,-0.5
0.07918739318847656,0.1160000000000001,0.12907216573883493,0.011641121085951254,0.18575248388578106,-0.0011057436287038056,0.20775436520576476,0.0613061897456646,2.0,-0.5
0.0992279052734375,0.1359999999999999,0.13315391370647991,0.012410171164919772,0.18733975280887144,-0.0010374467909176233,0.20812850594520568,0.06422039866447449,2.0,-0.5
0.11928105354309082,0.15599999999999992,0.1372394462174259,0.013189264864596071,0.18993463120824639,-0.0009635322240356952,0.20750023484230043,0.056149475276470184,2.0,-0.5
0.13932299613952637,0.17599999999999993,0.14131146652998633,0.013976458052966222,0.19210851226567344,-0.000883119355791053,0.20897516131401062,0.05669841542840004,2.0,-0.5
0.15932178497314453,0.19599999999999995,0.14541333317615326,0.014776371056731907,0.1931178975784211,-0.0007978422935439067,0.20762476921081544,0.0627397894859314,2.0,-0.5
0.1793515682220459,0.21599999999999997,0.14948970085113306,0.015573664550489611,0.19343675125564674,-0.0007055646250161398,0.20636160492897035,0.07071579992771149,2.0,-0.5
0.19935870170593262,0.236,0.15354057060967313,0.016367611975001455,0.19408504456896222,-0.000606521534623497,0.2071229863166809,0.06824930012226105,2.0,-0.5
0.21938228607177734,0.256,0.157604120509605,0.017168707088156057,0.19558107724359414,-0.0005023809245013109,0.20501076698303222,0.07774356007575989,2.0,-0.5
0.2393951416015625,0.276,0.16162391981178423,0.017968660248083655,0.19761428781755822,-0.0003907975107985238,0.20655696272850035,0.0767427533864975,2.0,-0.5
0.25940799713134766,0.29600000000000004,0.16567246357922358,0.01878291765337414,0.19961360583188606,-0.00027456484857531677,0.20745035290718078,0.07717610895633698,2.0,-0.5
0.2794618606567383,0.31600000000000006,0.16973786248410727,0.019608218694784026,0.20120612592495685,-0.00015312536349766656,0.20528520941734313,0.09330017864704132,2.0,-0.5
0.2995624542236328,0.33599999999999985,0.1737602543088415,0.020430883736417556,0.20255743939142432,-2.414032287209555e-05,0.20589108347892762,0.009472597390413284,2.0,-0.5
0.31949305534362793,0.35599999999999987,0.17779402574821043,0.021261214697474794,0.20369740021712138,0.00011017394191417421,0.2057853925228119,0.019106924533843994,2.0,-0.5
0.3394815921783447,0.3759999999999999,0.18182658887389894,0.022094457730848397,0.2040142793264731,0.0002505060672375955,0.20584311604499816,0.01718165911734104,2.0,-0.5
0.35949063301086426,0.3959999999999999,0.18586143034755045,0.022928274367368624,0.2037874469710927,0.0003965996441008721,0.2195411229133606,-0.031098123639822006,2.0,-0.5
0.3795006275177002,0.4159999999999999,0.19015810979583325,0.023815716658325225,0.20397050860022556,0.0005375995573713959,0.21946940779685975,-0.02934841252863407,2.0,-0.5
0.3995227813720703,0.43599999999999994,0.19445746382104312,0.02470653551332644,0.2049305534005558,0.0006838361058786871,0.21942360401153566,-0.018340669572353363,2.0,-0.5
0.4195380210876465,0.45599999999999996,0.19875618038655357,0.025600518182085735,0.20529064794684646,0.0008360083025471224,0.21946007132530213,-0.03550680726766586,2.0,-0.5
0.4395315647125244,0.476,0.20305793483994178,0.026494347180440105,0.20452386496710728,0.00099419587516001,0.2194967484474182,-0.03722419589757919,2.0,-0.5
0.45953869819641113,0.496,0.20736296659841125,0.027383643749205964,0.20301378765521116,0.0011581990277648516,0.21941969633102418,-0.0377795472741127,2.0,-0.5
0.47953009605407715,0.516,0.21166782949463842,0.028266184437695387,0.2016118150656636,0.0013277304851332496,0.21919833540916442,-0.031035583466291428,2.0,-0.5
0.4995448589324951,0.536,0.21596829705232345,0.029142885905335248,0.20085618307318326,0.0015026765812539155,0.21936648368835449,-0.04225313663482666,2.0,-0.5
0.5195305347442627,0.556,0.22027166178047916,0.0300180040761667,0.20059906819994613,0.0016828173408104958,0.21906696915626525,-0.03071562759578228,2.0,-0.5
0.5395336151123047,0.5760000000000001,0.22456953511351235,0.030890857365228414,0.2002748536593539,0.0018687969729638636,0.21878114461898804,-0.02567405067384243,2.0,-0.5
0.5595388412475586,0.5960000000000001,0.2288627927883245,0.03176078806438429,0.19968093571065293,0.002060682444053491,0.2190588390827179,-0.03594603016972542,2.0,-0.5
0.5795376300811768,0.6160000000000001,0.2331625521921449,0.032628997304366344,0.1989041204431125,0.002257956871983366,0.21894832253456115,-0.03318726271390915,2.0,-0.5
0.5995302200317383,0.6360000000000001,0.23746106974181702,0.033493355778761155,0.19806883560681307,0.002460839399180725,0.21864903092384338,-0.02750341035425663,2.0,-0.5
