step,wall_time,sim_time,x,y,goal_distance_m,current_fps,obs_interval,frame_consumed,frame_penalty,frame_cost,episode_frame_count,scans_since_last_obs,instant_reward,cumulative_reward,outcome,outcome_str
1,0.06077026994898915,0.0600000000000005,0.8350879103221912,0.237960732365305,1.7174874485668126,10.0,5,False,0.0,0.0025,1,3,0.004673900521350079,0.004673900521350079,0,UNKNOWN: 0
2,0.2612005462870002,0.22000000000000064,0.8590085548213625,0.24750625298845155,1.6942851532756016,5.0,10,True,0.0025,0.0025,2,6,0.010946299179900231,0.01562019970125031,0,UNKNOWN: 0
3,0.3621923020109534,0.3200000000000003,0.873452484945092,0.2564919905008227,1.677921723634944,5.0,10,True,0.0025,0.0025,3,1,0.0069830088056364,0.022603208506886713,0,UNKNOWN: 0
4,0.46198664838448167,0.41999999999999993,0.8870273917858464,0.26739842328881525,1.6607272002885,5.0,10,False,0.0,0.0025,3,6,0.009964647991513293,0.03256785649840001,0,UNKNOWN: 0
5,0.5621635112911463,0.5200000000000005,0.9004667447890011,0.2796120593630948,1.6426564439615146,5.0,10,True,0.0025,0.0025,4,1,0.007972446494195113,0.04054030299259512,0,UNKNOWN: 0
6,0.6621362073346972,0.6200000000000001,0.9151183835575732,0.2943381263439653,1.6219090171499297,5.0,10,False,0.0,0.0025,4,6,0.012023642687942556,0.052563945680537676,0,UNKNOWN: 0
7,0.7625212981365621,0.7199999999999998,0.9304301511887227,0.3100476710215014,1.5999893853288203,5.0,10,True,0.0025,0.0025,5,1,0.010202964240419164,0.06276690992095683,0,UNKNOWN: 0
8,0.8621617262251675,0.8200000000000003,0.9455452887321687,0.32598056290774646,1.5780355892723081,5.0,10,False,0.0,0.0025,5,6,0.012722763252745814,0.07548967317370264,0,UNKNOWN: 0
9,0.9623299990780652,0.9199999999999999,0.9603893367735519,0.342170840576338,1.5560715262434985,5.0,10,True,0.0025,0.0025,6,1,0.010228713214999569,0.08571838638870222,0,UNKNOWN: 0
10,1.062414722982794,1.0200000000000005,0.9752035288855664,0.3584437215956949,1.5340660412919724,5.0,10,False,0.0,0.0025,6,6,0.012752718235126338,0.09847110462382855,0,UNKNOWN: 0
11,1.1628985232673585,1.12,0.9901601712352354,0.3745835756219627,1.5120642736924852,5.0,10,True,0.0025,0.0025,7,1,0.010250563938448181,0.10872166856227673,0,UNKNOWN: 0
12,1.262696930207312,1.2200000000000006,1.0052526883130748,0.390569397713335,1.490086757389631,5.0,10,False,0.0,0.0025,7,6,0.012736509717262898,0.12145817827953963,0,UNKNOWN: 0
13,1.3624050570651889,1.3200000000000003,1.0204890488001717,0.40640972262102765,1.4681217207686208,5.0,10,True,0.0025,0.0025,8,1,0.010229277435558124,0.13168745571509774,0,UNKNOWN: 0
14,1.4626061799935997,1.42,1.0356195393346403,0.42207460933867263,1.4463584832582808,5.0,10,False,0.0,0.0025,8,6,0.012612329901607157,0.1442997856167049,0,UNKNOWN: 0
15,1.5627885032445192,1.5200000000000005,1.0506287186980057,0.43787885109742647,1.4245725876021815,5.0,10,True,0.0025,0.0025,9,1,0.01012546085278746,0.15442524646949235,0,UNKNOWN: 0
16,1.6625275700353086,1.62,1.0655413578276183,0.45372847230923363,1.4028175813713557,5.0,10,False,0.0,0.0025,9,6,0.01260755967324861,0.16703280614274096,0,UNKNOWN: 0
17,1.762400976382196,1.7199999999999998,1.0804331888510046,0.46959111368433804,1.3810668235428598,5.0,10,True,0.0025,0.0025,10,1,0.010105097619902255,0.1771379037626432,0,UNKNOWN: 0
18,1.862466580234468,1.8200000000000003,1.0941470243758082,0.48442524874662923,1.3608679716821228,5.0,10,False,0.0,0.0025,10,6,0.01170573004959712,0.18884363381224034,0,UNKNOWN: 0
19,1.962770282290876,1.92,1.1075381313942336,0.4994398954120622,1.3407493084153628,5.0,10,True,0.0025,0.0025,11,1,0.009159258792684958,0.1980028926049253,0,UNKNOWN: 0
